"Site","WS","gseason","WD","n"
"Barren","(-Inf,3]","Summer","60",449
"Barren","(-Inf,3]","Summer","90",256
"Barren","(-Inf,3]","Summer","120",249
"Barren","(-Inf,3]","Summer","150",317
"Barren","(-Inf,3]","Summer","180",397
"Barren","(-Inf,3]","Summer","210",1324
"Barren","(-Inf,3]","Summer","240",3415
"Barren","(-Inf,3]","Summer","270",1255
"Barren","(-Inf,3]","Summer","300",183
"Barren","(-Inf,3]","Summer","330",140
"Barren","(-Inf,3]","Winter","0",639
"Barren","(-Inf,3]","Winter","30",2103
"Barren","(-Inf,3]","Winter","60",2752
"Barren","(-Inf,3]","Winter","90",953
"Barren","(-Inf,3]","Winter","120",366
"Barren","(-Inf,3]","Winter","150",375
"Barren","(-Inf,3]","Winter","180",571
"Barren","(-Inf,3]","Winter","210",1658
"Barren","(-Inf,3]","Winter","240",3500
"Barren","(-Inf,3]","Winter","270",1433
"Barren","(-Inf,3]","Winter","300",346
"Barren","(-Inf,3]","Winter","330",243
"Blackhawk","(9, Inf]","Summer","0",27
"Blackhawk","(9, Inf]","Summer","30",39
"Blackhawk","(9, Inf]","Summer","60",710
"Blackhawk","(9, Inf]","Summer","90",564
"Blackhawk","(9, Inf]","Summer","120",96
"Blackhawk","(9, Inf]","Summer","150",33
"Blackhawk","(9, Inf]","Summer","180",22
"Blackhawk","(9, Inf]","Summer","210",2693
"Blackhawk","(9, Inf]","Summer","240",2576
"Blackhawk","(9, Inf]","Summer","270",95
"Blackhawk","(9, Inf]","Summer","300",28
"Blackhawk","(9, Inf]","Summer","330",19
"Blackhawk","(9, Inf]","Winter","0",24
"Blackhawk","(9, Inf]","Winter","30",39
"Blackhawk","(9, Inf]","Winter","60",795
"Blackhawk","(9, Inf]","Winter","90",387
"Blackhawk","(9, Inf]","Winter","120",29
"Blackhawk","(9, Inf]","Winter","150",22
"Blackhawk","(9, Inf]","Winter","180",34
"Blackhawk","(9, Inf]","Winter","210",3685
"Blackhawk","(9, Inf]","Winter","240",3228
"Blackhawk","(9, Inf]","Winter","270",38
"Blackhawk","(9, Inf]","Winter","300",19
"Blackhawk","(9, Inf]","Winter","330",25
"Blackhawk","(6,9]","Summer","0",83
"Blackhawk","(6,9]","Summer","30",129
"Blackhawk","(6,9]","Summer","60",659
"Blackhawk","(6,9]","Summer","90",365
"Blackhawk","(6,9]","Summer","120",129
"Blackhawk","(6,9]","Summer","150",76
"Blackhawk","(6,9]","Summer","180",121
"Blackhawk","(6,9]","Summer","210",1728
"Blackhawk","(6,9]","Summer","240",1732
"Blackhawk","(6,9]","Summer","270",296
"Blackhawk","(6,9]","Summer","300",185
"Blackhawk","(6,9]","Summer","330",98
"Blackhawk","(6,9]","Winter","0",146
"Blackhawk","(6,9]","Winter","30",163
"Blackhawk","(6,9]","Winter","60",392
"Blackhawk","(6,9]","Winter","90",175
"Blackhawk","(6,9]","Winter","120",116
"Blackhawk","(6,9]","Winter","150",41
"Blackhawk","(6,9]","Winter","180",101
"Blackhawk","(6,9]","Winter","210",1926
"Blackhawk","(6,9]","Winter","240",2064
"Blackhawk","(6,9]","Winter","270",241
"Blackhawk","(6,9]","Winter","300",168
"Blackhawk","(6,9]","Winter","330",135
"Blackhawk","(3,6]","Summer","0",313
"Blackhawk","(3,6]","Summer","30",384
"Blackhawk","(3,6]","Summer","60",830
"Blackhawk","(3,6]","Summer","90",587
"Blackhawk","(3,6]","Summer","120",160
"Blackhawk","(3,6]","Summer","150",117
"Blackhawk","(3,6]","Summer","180",215
"Blackhawk","(3,6]","Summer","210",1630
"Blackhawk","(3,6]","Summer","240",1817
"Blackhawk","(3,6]","Summer","270",589
"Blackhawk","(3,6]","Summer","300",307
"Blackhawk","(3,6]","Summer","330",289
"Blackhawk","(3,6]","Winter","0",472
"Blackhawk","(3,6]","Winter","30",471
"Blackhawk","(3,6]","Winter","60",595
"Blackhawk","(3,6]","Winter","90",299
"Blackhawk","(3,6]","Winter","120",107
"Blackhawk","(3,6]","Winter","150",83
"Blackhawk","(3,6]","Winter","180",281
"Blackhawk","(3,6]","Winter","210",2003
"Blackhawk","(3,6]","Winter","240",2424
"Blackhawk","(3,6]","Winter","270",569
"Blackhawk","(3,6]","Winter","300",377
"Blackhawk","(3,6]","Winter","330",390
"Blackhawk","(-Inf,3]","Summer","0",1161
"Blackhawk","(-Inf,3]","Summer","30",1677
"Blackhawk","(-Inf,3]","Summer","60",2676
"Blackhawk","(-Inf,3]","Summer","90",1409
"Blackhawk","(-Inf,3]","Summer","120",696
"Blackhawk","(-Inf,3]","Summer","150",688
"Blackhawk","(-Inf,3]","Summer","180",1181
"Blackhawk","(-Inf,3]","Summer","210",4889
"Blackhawk","(-Inf,3]","Summer","240",6093
"Blackhawk","(-Inf,3]","Summer","270",2317
"Blackhawk","(-Inf,3]","Summer","300",1067
"Blackhawk","(-Inf,3]","Summer","330",885
"Blackhawk","(-Inf,3]","Winter","0",3183
"Blackhawk","(-Inf,3]","Winter","30",3043
"Blackhawk","(-Inf,3]","Winter","60",4371
"Blackhawk","(-Inf,3]","Winter","90",2082
"Blackhawk","(-Inf,3]","Winter","120",760
"Blackhawk","(-Inf,3]","Winter","150",1096
"Blackhawk","(-Inf,3]","Winter","180",1869
"Blackhawk","(-Inf,3]","Winter","210",6208
"Blackhawk","(-Inf,3]","Winter","240",7425
"Blackhawk","(-Inf,3]","Winter","270",4393
"Blackhawk","(-Inf,3]","Winter","300",2400
"Blackhawk","(-Inf,3]","Winter","330",1990
"Boulder Creek","(9, Inf]","Summer","60",1
"Boulder Creek","(9, Inf]","Summer","150",1
"Boulder Creek","(9, Inf]","Winter","0",3
"Boulder Creek","(9, Inf]","Winter","30",8
"Boulder Creek","(9, Inf]","Winter","60",16
"Boulder Creek","(9, Inf]","Winter","90",7
"Boulder Creek","(9, Inf]","Winter","120",1
"Boulder Creek","(9, Inf]","Winter","150",2
"Boulder Creek","(6,9]","Summer","0",42
"Boulder Creek","(6,9]","Summer","30",55
"Boulder Creek","(6,9]","Summer","60",48
"Boulder Creek","(6,9]","Summer","90",33
"Boulder Creek","(6,9]","Summer","120",33
"Boulder Creek","(6,9]","Summer","150",17
"Boulder Creek","(6,9]","Summer","180",2
"Boulder Creek","(6,9]","Summer","210",1
"Boulder Creek","(6,9]","Summer","240",5
"Boulder Creek","(6,9]","Summer","270",97
"Boulder Creek","(6,9]","Summer","300",40
"Boulder Creek","(6,9]","Summer","330",9
"Boulder Creek","(6,9]","Winter","0",19
"Boulder Creek","(6,9]","Winter","30",162
"Boulder Creek","(6,9]","Winter","60",259
"Boulder Creek","(6,9]","Winter","90",118
"Boulder Creek","(6,9]","Winter","120",51
"Boulder Creek","(6,9]","Winter","150",67
"Boulder Creek","(6,9]","Winter","180",28
"Boulder Creek","(6,9]","Winter","210",2
"Boulder Creek","(6,9]","Winter","240",4
"Boulder Creek","(6,9]","Winter","270",8
"Boulder Creek","(6,9]","Winter","300",4
"Boulder Creek","(6,9]","Winter","330",1
"Boulder Creek","(3,6]","Summer","0",281
"Boulder Creek","(3,6]","Summer","30",445
"Boulder Creek","(3,6]","Summer","60",347
"Boulder Creek","(3,6]","Summer","90",226
"Boulder Creek","(3,6]","Summer","120",160
"Boulder Creek","(3,6]","Summer","150",96
"Boulder Creek","(3,6]","Summer","180",116
"Boulder Creek","(3,6]","Summer","210",269
"Boulder Creek","(3,6]","Summer","240",734
"Boulder Creek","(3,6]","Summer","270",1184
"Boulder Creek","(3,6]","Summer","300",557
"Boulder Creek","(3,6]","Summer","330",289
"Boulder Creek","(3,6]","Winter","0",162
"Boulder Creek","(3,6]","Winter","30",834
