"Site","WS","gseason","WD","n"
"Caribou Pass","(6,9]","Winter","30",81
"Caribou Pass","(6,9]","Winter","60",137
"Caribou Pass","(6,9]","Winter","90",93
"Caribou Pass","(6,9]","Winter","120",68
"Caribou Pass","(6,9]","Winter","150",73
"Caribou Pass","(6,9]","Winter","180",47
"Caribou Pass","(6,9]","Winter","210",83
"Caribou Pass","(6,9]","Winter","240",90
"Caribou Pass","(6,9]","Winter","270",41
"Caribou Pass","(6,9]","Winter","300",34
"Caribou Pass","(6,9]","Winter","330",24
"Caribou Pass","(3,6]","Summer","0",16
"Caribou Pass","(3,6]","Summer","30",42
"Caribou Pass","(3,6]","Summer","60",31
"Caribou Pass","(3,6]","Summer","90",36
"Caribou Pass","(3,6]","Summer","120",24
"Caribou Pass","(3,6]","Summer","150",26
"Caribou Pass","(3,6]","Summer","180",28
"Caribou Pass","(3,6]","Summer","210",52
"Caribou Pass","(3,6]","Summer","240",50
"Caribou Pass","(3,6]","Summer","270",26
"Caribou Pass","(3,6]","Summer","300",39
"Caribou Pass","(3,6]","Summer","330",33
"Caribou Pass","(3,6]","Winter","0",21
"Caribou Pass","(3,6]","Winter","30",70
"Caribou Pass","(3,6]","Winter","60",151
"Caribou Pass","(3,6]","Winter","90",55
"Caribou Pass","(3,6]","Winter","120",48
"Caribou Pass","(3,6]","Winter","150",63
"Caribou Pass","(3,6]","Winter","180",55
"Caribou Pass","(3,6]","Winter","210",122
"Caribou Pass","(3,6]","Winter","240",75
"Caribou Pass","(3,6]","Winter","270",49
"Caribou Pass","(3,6]","Winter","300",47
"Caribou Pass","(3,6]","Winter","330",36
"Caribou Pass","(-Inf,3]","Summer","0",15
"Caribou Pass","(-Inf,3]","Summer","30",24
"Caribou Pass","(-Inf,3]","Summer","60",18
"Caribou Pass","(-Inf,3]","Summer","90",25
"Caribou Pass","(-Inf,3]","Summer","120",10
"Caribou Pass","(-Inf,3]","Summer","150",10
"Caribou Pass","(-Inf,3]","Summer","180",17
"Caribou Pass","(-Inf,3]","Summer","210",11
"Caribou Pass","(-Inf,3]","Summer","240",8
"Caribou Pass","(-Inf,3]","Summer","270",22
"Caribou Pass","(-Inf,3]","Summer","300",19
"Caribou Pass","(-Inf,3]","Summer","330",16
"Caribou Pass","(-Inf,3]","Winter","0",107
"Caribou Pass","(-Inf,3]","Winter","30",76
"Caribou Pass","(-Inf,3]","Winter","60",353
"Caribou Pass","(-Inf,3]","Winter","90",214
"Caribou Pass","(-Inf,3]","Winter","120",189
"Caribou Pass","(-Inf,3]","Winter","150",260
"Caribou Pass","(-Inf,3]","Winter","180",110
"Caribou Pass","(-Inf,3]","Winter","210",56
"Caribou Pass","(-Inf,3]","Winter","240",57
"Caribou Pass","(-Inf,3]","Winter","270",30
"Caribou Pass","(-Inf,3]","Winter","300",74
"Caribou Pass","(-Inf,3]","Winter","330",67
"Central Plateau Finlay","(9, Inf]","Summer","0",2227
"Central Plateau Finlay","(9, Inf]","Winter","0",1982
"Central Plateau Finlay","(9, Inf]","Winter","150",1
"Central Plateau Finlay","(6,9]","Summer","0",52
"Central Plateau Finlay","(6,9]","Summer","120",6
"Central Plateau Finlay","(6,9]","Summer","150",3
"Central Plateau Finlay","(6,9]","Summer","270",1
"Central Plateau Finlay","(6,9]","Summer","300",1
"Central Plateau Finlay","(6,9]","Winter","0",89
"Central Plateau Finlay","(6,9]","Winter","120",402
"Central Plateau Finlay","(6,9]","Winter","150",543
"Central Plateau Finlay","(6,9]","Winter","270",4
"Central Plateau Finlay","(6,9]","Winter","330",1
"Central Plateau Finlay","(3,6]","Summer","0",59
"Central Plateau Finlay","(3,6]","Summer","30",1
"Central Plateau Finlay","(3,6]","Summer","90",112
"Central Plateau Finlay","(3,6]","Summer","120",841
"Central Plateau Finlay","(3,6]","Summer","150",341
"Central Plateau Finlay","(3,6]","Summer","180",60
"Central Plateau Finlay","(3,6]","Summer","210",65
"Central Plateau Finlay","(3,6]","Summer","240",89
"Central Plateau Finlay","(3,6]","Summer","270",316
"Central Plateau Finlay","(3,6]","Summer","300",182
"Central Plateau Finlay","(3,6]","Summer","330",108
"Central Plateau Finlay","(3,6]","Winter","0",59
"Central Plateau Finlay","(3,6]","Winter","30",3
"Central Plateau Finlay","(3,6]","Winter","60",4
"Central Plateau Finlay","(3,6]","Winter","90",211
"Central Plateau Finlay","(3,6]","Winter","120",5959
"Central Plateau Finlay","(3,6]","Winter","150",2802
"Central Plateau Finlay","(3,6]","Winter","180",93
"Central Plateau Finlay","(3,6]","Winter","210",83
"Central Plateau Finlay","(3,6]","Winter","240",96
"Central Plateau Finlay","(3,6]","Winter","270",311
"Central Plateau Finlay","(3,6]","Winter","300",306
"Central Plateau Finlay","(3,6]","Winter","330",230
"Central Plateau Finlay","(-Inf,3]","Summer","0",3612
"Central Plateau Finlay","(-Inf,3]","Summer","30",3251
"Central Plateau Finlay","(-Inf,3]","Summer","60",3360
"Central Plateau Finlay","(-Inf,3]","Summer","90",6424
"Central Plateau Finlay","(-Inf,3]","Summer","120",7787
"Central Plateau Finlay","(-Inf,3]","Summer","150",4255
"Central Plateau Finlay","(-Inf,3]","Summer","180",5170
"Central Plateau Finlay","(-Inf,3]","Summer","210",9143
"Central Plateau Finlay","(-Inf,3]","Summer","240",8630
"Central Plateau Finlay","(-Inf,3]","Summer","270",5449
"Central Plateau Finlay","(-Inf,3]","Summer","300",2981
"Central Plateau Finlay","(-Inf,3]","Summer","330",2144
"Central Plateau Finlay","(-Inf,3]","Winter","0",5528
"Central Plateau Finlay","(-Inf,3]","Winter","30",1940
"Central Plateau Finlay","(-Inf,3]","Winter","60",2445
"Central Plateau Finlay","(-Inf,3]","Winter","90",7654
"Central Plateau Finlay","(-Inf,3]","Winter","120",14140
"Central Plateau Finlay","(-Inf,3]","Winter","150",5754
"Central Plateau Finlay","(-Inf,3]","Winter","180",4866
"Central Plateau Finlay","(-Inf,3]","Winter","210",6238
"Central Plateau Finlay","(-Inf,3]","Winter","240",7512
"Central Plateau Finlay","(-Inf,3]","Winter","270",10379
"Central Plateau Finlay","(-Inf,3]","Winter","300",6840
"Central Plateau Finlay","(-Inf,3]","Winter","330",3413
"Chapman","(9, Inf]","Summer","240",2
"Chapman","(9, Inf]","Summer","270",7
"Chapman","(9, Inf]","Summer","300",3
"Chapman","(9, Inf]","Summer","330",1
"Chapman","(9, Inf]","Winter","240",10
"Chapman","(9, Inf]","Winter","270",1
"Chapman","(6,9]","Summer","60",1
"Chapman","(6,9]","Summer","240",3
"Chapman","(6,9]","Summer","270",25
"Chapman","(6,9]","Summer","300",59
"Chapman","(6,9]","Summer","330",2
"Chapman","(6,9]","Winter","30",3
"Chapman","(6,9]","Winter","60",10
"Chapman","(6,9]","Winter","90",2
"Chapman","(6,9]","Winter","210",1
"Chapman","(6,9]","Winter","240",9
"Chapman","(6,9]","Winter","270",12
"Chapman","(6,9]","Winter","300",8
"Chapman","(3,6]","Summer","0",21
"Chapman","(3,6]","Summer","30",23
"Chapman","(3,6]","Summer","60",52
"Chapman","(3,6]","Summer","90",23
"Chapman","(3,6]","Summer","120",8
"Chapman","(3,6]","Summer","150",4
"Chapman","(3,6]","Summer","180",17
"Chapman","(3,6]","Summer","210",78
"Chapman","(3,6]","Summer","240",236
"Chapman","(3,6]","Summer","270",481
"Chapman","(3,6]","Summer","300",474
"Chapman","(3,6]","Summer","330",51
"Chapman","(3,6]","Winter","0",17
"Chapman","(3,6]","Winter","30",32
"Chapman","(3,6]","Winter","60",68
"Chapman","(3,6]","Winter","90",33
"Chapman","(3,6]","Winter","120",11
"Chapman","(3,6]","Winter","150",5
"Chapman","(3,6]","Winter","180",14
"Chapman","(3,6]","Winter","210",53
"Chapman","(3,6]","Winter","240",135
"Chapman","(3,6]","Winter","270",150
"Chapman","(3,6]","Winter","300",101
"Chapman","(3,6]","Winter","330",20
"Chapman","(-Inf,3]","Summer","0",682
"Chapman","(-Inf,3]","Summer","30",945
"Chapman","(-Inf,3]","Summer","60",1514
"Chapman","(-Inf,3]","Summer","90",776
"Chapman","(-Inf,3]","Summer","120",541
"Chapman","(-Inf,3]","Summer","150",458
"Chapman","(-Inf,3]","Summer","180",600
"Chapman","(-Inf,3]","Summer","210",1024
"Chapman","(-Inf,3]","Summer","240",1911
"Chapman","(-Inf,3]","Summer","270",3527
"Chapman","(-Inf,3]","Summer","300",2069
"Chapman","(-Inf,3]","Summer","330",916
"Chapman","(-Inf,3]","Winter","0",1261
"Chapman","(-Inf,3]","Winter","30",1624
"Chapman","(-Inf,3]","Winter","60",2701
"Chapman","(-Inf,3]","Winter","90",1980
"Chapman","(-Inf,3]","Winter","120",821
"Chapman","(-Inf,3]","Winter","150",634
"Chapman","(-Inf,3]","Winter","180",771
"Chapman","(-Inf,3]","Winter","210",1034
"Chapman","(-Inf,3]","Winter","240",1927
"Chapman","(-Inf,3]","Winter","270",3495
"Chapman","(-Inf,3]","Winter","300",2063
"Chapman","(-Inf,3]","Winter","330",1370
"Chief Lake","(9, Inf]","Winter","0",21
"Chief Lake","(9, Inf]","Winter","330",2
"Chief Lake","(6,9]","Summer","240",1
"Chief Lake","(6,9]","Summer","330",1
"Chief Lake","(6,9]","Winter","0",97
"Chief Lake","(6,9]","Winter","210",1
"Chief Lake","(6,9]","Winter","330",21
"Chief Lake","(3,6]","Summer","0",82
"Chief Lake","(3,6]","Summer","30",3
"Chief Lake","(3,6]","Summer","60",7
"Chief Lake","(3,6]","Summer","90",7
"Chief Lake","(3,6]","Summer","120",3
"Chief Lake","(3,6]","Summer","150",5
"Chief Lake","(3,6]","Summer","180",4
"Chief Lake","(3,6]","Summer","210",38
"Chief Lake","(3,6]","Summer","240",5
"Chief Lake","(3,6]","Summer","270",3
"Chief Lake","(3,6]","Summer","300",6
"Chief Lake","(3,6]","Summer","330",61
"Chief Lake","(3,6]","Winter","0",427
"Chief Lake","(3,6]","Winter","120",21
"Chief Lake","(3,6]","Winter","150",29
"Chief Lake","(3,6]","Winter","180",6
"Chief Lake","(3,6]","Winter","210",50
"Chief Lake","(3,6]","Winter","240",13
"Chief Lake","(3,6]","Winter","270",11
"Chief Lake","(3,6]","Winter","300",3
"Chief Lake","(3,6]","Winter","330",409
"Chief Lake","(-Inf,3]","Summer","0",1320
"Chief Lake","(-Inf,3]","Summer","30",1206
"Chief Lake","(-Inf,3]","Summer","60",1635
"Chief Lake","(-Inf,3]","Summer","90",2849
"Chief Lake","(-Inf,3]","Summer","120",1480
"Chief Lake","(-Inf,3]","Summer","150",1429
"Chief Lake","(-Inf,3]","Summer","180",2177
"Chief Lake","(-Inf,3]","Summer","210",3650
"Chief Lake","(-Inf,3]","Summer","240",2407
"Chief Lake","(-Inf,3]","Summer","270",1464
"Chief Lake","(-Inf,3]","Summer","300",1103
"Chief Lake","(-Inf,3]","Summer","330",2814
"Chief Lake","(-Inf,3]","Winter","0",1872
"Chief Lake","(-Inf,3]","Winter","30",1364
"Chief Lake","(-Inf,3]","Winter","60",3301
"Chief Lake","(-Inf,3]","Winter","90",5602
"Chief Lake","(-Inf,3]","Winter","120",2609
"Chief Lake","(-Inf,3]","Winter","150",1603
"Chief Lake","(-Inf,3]","Winter","180",2009
"Chief Lake","(-Inf,3]","Winter","210",3301
"Chief Lake","(-Inf,3]","Winter","240",1879
"Chief Lake","(-Inf,3]","Winter","270",1186
"Chief Lake","(-Inf,3]","Winter","300",913
"Chief Lake","(-Inf,3]","Winter","330",3826
"Coalmine","(-Inf,3]","Summer","0",925
"Coalmine","(-Inf,3]","Summer","30",713
"Coalmine","(-Inf,3]","Summer","60",922
"Coalmine","(-Inf,3]","Summer","90",1742
"Coalmine","(-Inf,3]","Summer","120",4301
"Coalmine","(-Inf,3]","Summer","150",5030
"Coalmine","(-Inf,3]","Summer","180",1754
"Coalmine","(-Inf,3]","Summer","210",914
"Coalmine","(-Inf,3]","Summer","240",1067
"Coalmine","(-Inf,3]","Summer","270",2412
"Coalmine","(-Inf,3]","Summer","300",2895
"Coalmine","(-Inf,3]","Summer","330",1794
"Coalmine","(-Inf,3]","Winter","0",471
"Coalmine","(-Inf,3]","Winter","30",460
"Coalmine","(-Inf,3]","Winter","60",898
"Coalmine","(-Inf,3]","Winter","90",1735
"Coalmine","(-Inf,3]","Winter","120",6294
"Coalmine","(-Inf,3]","Winter","150",10519
"Coalmine","(-Inf,3]","Winter","180",2593
"Coalmine","(-Inf,3]","Winter","210",1350
"Coalmine","(-Inf,3]","Winter","240",1249
"Coalmine","(-Inf,3]","Winter","270",2473
"Coalmine","(-Inf,3]","Winter","300",2341
"Coalmine","(-Inf,3]","Winter","330",1417
"Crooked Lake","(9, Inf]","Summer","0",9
"Crooked Lake","(9, Inf]","Summer","180",32
"Crooked Lake","(9, Inf]","Summer","210",217
"Crooked Lake","(9, Inf]","Summer","240",69
"Crooked Lake","(9, Inf]","Summer","270",1
"Crooked Lake","(9, Inf]","Summer","330",8
"Crooked Lake","(9, Inf]","Winter","0",15
"Crooked Lake","(9, Inf]","Winter","30",1
"Crooked Lake","(9, Inf]","Winter","180",37
"Crooked Lake","(9, Inf]","Winter","210",141
"Crooked Lake","(9, Inf]","Winter","240",51
"Crooked Lake","(9, Inf]","Winter","270",2
"Crooked Lake","(9, Inf]","Winter","330",42
"Crooked Lake","(6,9]","Summer","0",17
"Crooked Lake","(6,9]","Summer","30",3
"Crooked Lake","(6,9]","Summer","60",7
"Crooked Lake","(6,9]","Summer","90",3
"Crooked Lake","(6,9]","Summer","180",66
"Crooked Lake","(6,9]","Summer","210",209
"Crooked Lake","(6,9]","Summer","240",42
"Crooked Lake","(6,9]","Summer","270",2
"Crooked Lake","(6,9]","Summer","330",18
"Crooked Lake","(6,9]","Winter","0",24
"Crooked Lake","(6,9]","Winter","30",8
"Crooked Lake","(6,9]","Winter","180",35
"Crooked Lake","(6,9]","Winter","210",91
"Crooked Lake","(6,9]","Winter","240",23
"Crooked Lake","(6,9]","Winter","270",3
"Crooked Lake","(6,9]","Winter","330",80
"Crooked Lake","(3,6]","Summer","0",110
"Crooked Lake","(3,6]","Summer","30",42
"Crooked Lake","(3,6]","Summer","60",38
"Crooked Lake","(3,6]","Summer","90",28
"Crooked Lake","(3,6]","Summer","120",30
"Crooked Lake","(3,6]","Summer","150",128
"Crooked Lake","(3,6]","Summer","180",356
"Crooked Lake","(3,6]","Summer","210",364
"Crooked Lake","(3,6]","Summer","240",111
"Crooked Lake","(3,6]","Summer","270",20
"Crooked Lake","(3,6]","Summer","300",10
"Crooked Lake","(3,6]","Summer","330",168
"Crooked Lake","(3,6]","Winter","0",124
"Crooked Lake","(3,6]","Winter","30",19
"Crooked Lake","(3,6]","Winter","60",13
"Crooked Lake","(3,6]","Winter","90",14
"Crooked Lake","(3,6]","Winter","120",9
"Crooked Lake","(3,6]","Winter","150",81
"Crooked Lake","(3,6]","Winter","180",199
"Crooked Lake","(3,6]","Winter","210",151
"Crooked Lake","(3,6]","Winter","240",34
"Crooked Lake","(3,6]","Winter","270",9
"Crooked Lake","(3,6]","Winter","300",9
"Crooked Lake","(3,6]","Winter","330",292
"Crooked Lake","(-Inf,3]","Summer","0",375
"Crooked Lake","(-Inf,3]","Summer","30",132
"Crooked Lake","(-Inf,3]","Summer","60",101
"Crooked Lake","(-Inf,3]","Summer","90",116
"Crooked Lake","(-Inf,3]","Summer","120",267
"Crooked Lake","(-Inf,3]","Summer","150",1301
"Crooked Lake","(-Inf,3]","Summer","180",1136
"Crooked Lake","(-Inf,3]","Summer","210",634
"Crooked Lake","(-Inf,3]","Summer","240",400
"Crooked Lake","(-Inf,3]","Summer","270",176
"Crooked Lake","(-Inf,3]","Summer","300",214
"Crooked Lake","(-Inf,3]","Summer","330",493
"Crooked Lake","(-Inf,3]","Winter","0",554
"Crooked Lake","(-Inf,3]","Winter","30",99
"Crooked Lake","(-Inf,3]","Winter","60",154
"Crooked Lake","(-Inf,3]","Winter","90",74
"Crooked Lake","(-Inf,3]","Winter","120",291
"Crooked Lake","(-Inf,3]","Winter","150",1479
"Crooked Lake","(-Inf,3]","Winter","180",1017
"Crooked Lake","(-Inf,3]","Winter","210",466
"Crooked Lake","(-Inf,3]","Winter","240",306
"Crooked Lake","(-Inf,3]","Winter","270",206
"Crooked Lake","(-Inf,3]","Winter","300",280
"Crooked Lake","(-Inf,3]","Winter","330",1248
"Crystal Lake","(9, Inf]","Summer","0",47
"Crystal Lake","(9, Inf]","Summer","30",137
"Crystal Lake","(9, Inf]","Summer","60",433
"Crystal Lake","(9, Inf]","Summer","90",99
"Crystal Lake","(9, Inf]","Summer","120",113
"Crystal Lake","(9, Inf]","Summer","150",140
"Crystal Lake","(9, Inf]","Summer","180",201
"Crystal Lake","(9, Inf]","Summer","210",452
"Crystal Lake","(9, Inf]","Summer","240",959
"Crystal Lake","(9, Inf]","Summer","270",846
"Crystal Lake","(9, Inf]","Summer","300",99
"Crystal Lake","(9, Inf]","Summer","330",49
"Crystal Lake","(9, Inf]","Winter","0",178
"Crystal Lake","(9, Inf]","Winter","30",374
"Crystal Lake","(9, Inf]","Winter","60",296
"Crystal Lake","(9, Inf]","Winter","90",32
"Crystal Lake","(9, Inf]","Winter","120",189
"Crystal Lake","(9, Inf]","Winter","150",537
"Crystal Lake","(9, Inf]","Winter","180",339
"Crystal Lake","(9, Inf]","Winter","210",185
"Crystal Lake","(9, Inf]","Winter","240",570
"Crystal Lake","(9, Inf]","Winter","270",494
"Crystal Lake","(9, Inf]","Winter","300",109
"Crystal Lake","(9, Inf]","Winter","330",269
"Crystal Lake","(6,9]","Summer","0",210
"Crystal Lake","(6,9]","Summer","30",238
"Crystal Lake","(6,9]","Summer","60",215
"Crystal Lake","(6,9]","Summer","90",102
"Crystal Lake","(6,9]","Summer","120",201
"Crystal Lake","(6,9]","Summer","150",690
"Crystal Lake","(6,9]","Summer","180",1308
"Crystal Lake","(6,9]","Summer","210",1260
"Crystal Lake","(6,9]","Summer","240",926
"Crystal Lake","(6,9]","Summer","270",533
"Crystal Lake","(6,9]","Summer","300",243
"Crystal Lake","(6,9]","Summer","330",398
"Crystal Lake","(6,9]","Winter","0",509
"Crystal Lake","(6,9]","Winter","30",346
"Crystal Lake","(6,9]","Winter","60",169
"Crystal Lake","(6,9]","Winter","90",109
"Crystal Lake","(6,9]","Winter","120",204
"Crystal Lake","(6,9]","Winter","150",2002
"Crystal Lake","(6,9]","Winter","180",1495
"Crystal Lake","(6,9]","Winter","210",556
"Crystal Lake","(6,9]","Winter","240",369
"Crystal Lake","(6,9]","Winter","270",216
"Crystal Lake","(6,9]","Winter","300",381
"Crystal Lake","(6,9]","Winter","330",894
"Crystal Lake","(3,6]","Summer","0",450
"Crystal Lake","(3,6]","Summer","30",314
"Crystal Lake","(3,6]","Summer","60",155
"Crystal Lake","(3,6]","Summer","90",116
"Crystal Lake","(3,6]","Summer","120",335
"Crystal Lake","(3,6]","Summer","150",1522
"Crystal Lake","(3,6]","Summer","180",2169
"Crystal Lake","(3,6]","Summer","210",1404
"Crystal Lake","(3,6]","Summer","240",885
"Crystal Lake","(3,6]","Summer","270",556
"Crystal Lake","(3,6]","Summer","300",574
"Crystal Lake","(3,6]","Summer","330",806
"Crystal Lake","(3,6]","Winter","0",644
"Crystal Lake","(3,6]","Winter","30",340
"Crystal Lake","(3,6]","Winter","60",182
"Crystal Lake","(3,6]","Winter","90",169
"Crystal Lake","(3,6]","Winter","120",461
"Crystal Lake","(3,6]","Winter","150",3182
"Crystal Lake","(3,6]","Winter","180",2214
"Crystal Lake","(3,6]","Winter","210",841
"Crystal Lake","(3,6]","Winter","240",359
"Crystal Lake","(3,6]","Winter","270",206
"Crystal Lake","(3,6]","Winter","300",757
"Crystal Lake","(3,6]","Winter","330",1117
"Crystal Lake","(-Inf,3]","Summer","0",1549
"Crystal Lake","(-Inf,3]","Summer","30",1189
"Crystal Lake","(-Inf,3]","Summer","60",1172
"Crystal Lake","(-Inf,3]","Summer","90",1138
"Crystal Lake","(-Inf,3]","Summer","120",2031
"Crystal Lake","(-Inf,3]","Summer","150",3924
"Crystal Lake","(-Inf,3]","Summer","180",3678
"Crystal Lake","(-Inf,3]","Summer","210",2408
"Crystal Lake","(-Inf,3]","Summer","240",1585
"Crystal Lake","(-Inf,3]","Summer","270",1589
"Crystal Lake","(-Inf,3]","Summer","300",2204
"Crystal Lake","(-Inf,3]","Summer","330",2015
"Crystal Lake","(-Inf,3]","Winter","0",2066
"Crystal Lake","(-Inf,3]","Winter","30",1441
"Crystal Lake","(-Inf,3]","Winter","60",1664
"Crystal Lake","(-Inf,3]","Winter","90",1710
"Crystal Lake","(-Inf,3]","Winter","120",2805
"Crystal Lake","(-Inf,3]","Winter","150",6551
"Crystal Lake","(-Inf,3]","Winter","180",4859
"Crystal Lake","(-Inf,3]","Winter","210",2577
"Crystal Lake","(-Inf,3]","Winter","240",1324
"Crystal Lake","(-Inf,3]","Winter","270",993
"Crystal Lake","(-Inf,3]","Winter","300",3742
"Crystal Lake","(-Inf,3]","Winter","330",3588
"Dennis","(9, Inf]","Summer","210",1
"Dennis","(9, Inf]","Summer","240",119
"Dennis","(9, Inf]","Summer","270",38
"Dennis","(9, Inf]","Summer","300",1
"Dennis","(9, Inf]","Winter","0",3
"Dennis","(9, Inf]","Winter","30",11
"Dennis","(9, Inf]","Winter","60",4
"Dennis","(9, Inf]","Winter","120",1
"Dennis","(9, Inf]","Winter","150",1
"Dennis","(9, Inf]","Winter","210",2
"Dennis","(9, Inf]","Winter","240",44
"Dennis","(9, Inf]","Winter","270",22
"Dennis","(9, Inf]","Winter","300",3
"Dennis","(6,9]","Summer","0",1
"Dennis","(6,9]","Summer","30",6
"Dennis","(6,9]","Summer","120",1
"Dennis","(6,9]","Summer","150",1
"Dennis","(6,9]","Summer","180",1
"Dennis","(6,9]","Summer","210",22
"Dennis","(6,9]","Summer","240",200
"Dennis","(6,9]","Summer","270",138
"Dennis","(6,9]","Summer","300",14
"Dennis","(6,9]","Summer","330",3
"Dennis","(6,9]","Winter","0",3
"Dennis","(6,9]","Winter","30",27
"Dennis","(6,9]","Winter","60",14
"Dennis","(6,9]","Winter","90",6
"Dennis","(6,9]","Winter","120",14
"Dennis","(6,9]","Winter","150",6
"Dennis","(6,9]","Winter","210",7
"Dennis","(6,9]","Winter","240",48
"Dennis","(6,9]","Winter","270",23
"Dennis","(6,9]","Winter","300",4
"Dennis","(6,9]","Winter","330",1
"Dennis","(3,6]","Summer","0",69
"Dennis","(3,6]","Summer","30",154
"Dennis","(3,6]","Summer","60",56
"Dennis","(3,6]","Summer","90",48
"Dennis","(3,6]","Summer","120",76
"Dennis","(3,6]","Summer","150",68
"Dennis","(3,6]","Summer","180",69
"Dennis","(3,6]","Summer","210",206
"Dennis","(3,6]","Summer","240",600
"Dennis","(3,6]","Summer","270",940
"Dennis","(3,6]","Summer","300",441
"Dennis","(3,6]","Summer","330",179
"Dennis","(3,6]","Winter","0",67
"Dennis","(3,6]","Winter","30",243
"Dennis","(3,6]","Winter","60",216
"Dennis","(3,6]","Winter","90",375
"Dennis","(3,6]","Winter","120",268
"Dennis","(3,6]","Winter","150",73
"Dennis","(3,6]","Winter","180",36
"Dennis","(3,6]","Winter","210",95
"Dennis","(3,6]","Winter","240",267
"Dennis","(3,6]","Winter","270",249
"Dennis","(3,6]","Winter","300",88
"Dennis","(3,6]","Winter","330",39
"Dennis","(-Inf,3]","Summer","0",497
"Dennis","(-Inf,3]","Summer","30",417
"Dennis","(-Inf,3]","Summer","60",289
"Dennis","(-Inf,3]","Summer","90",426
"Dennis","(-Inf,3]","Summer","120",524
"Dennis","(-Inf,3]","Summer","150",2801
"Dennis","(-Inf,3]","Summer","180",2481
"Dennis","(-Inf,3]","Summer","210",1372
"Dennis","(-Inf,3]","Summer","240",1243
"Dennis","(-Inf,3]","Summer","270",1410
"Dennis","(-Inf,3]","Summer","300",936
"Dennis","(-Inf,3]","Summer","330",685
"Dennis","(-Inf,3]","Winter","0",653
"Dennis","(-Inf,3]","Winter","30",932
"Dennis","(-Inf,3]","Winter","60",885
"Dennis","(-Inf,3]","Winter","90",1221
"Dennis","(-Inf,3]","Winter","120",1551
"Dennis","(-Inf,3]","Winter","150",3695
"Dennis","(-Inf,3]","Winter","180",3229
"Dennis","(-Inf,3]","Winter","210",1922
"Dennis","(-Inf,3]","Winter","240",1376
"Dennis","(-Inf,3]","Winter","270",1336
"Dennis","(-Inf,3]","Winter","300",742
"Dennis","(-Inf,3]","Winter","330",574
"Dunster","(9, Inf]","Summer","0",1
"Dunster","(9, Inf]","Summer","90",1
"Dunster","(9, Inf]","Summer","120",6
"Dunster","(9, Inf]","Summer","150",1
"Dunster","(9, Inf]","Summer","270",21
"Dunster","(9, Inf]","Summer","300",278
"Dunster","(9, Inf]","Summer","330",41
"Dunster","(9, Inf]","Winter","90",1
"Dunster","(9, Inf]","Winter","120",494
"Dunster","(9, Inf]","Winter","150",15
"Dunster","(9, Inf]","Winter","270",17
"Dunster","(9, Inf]","Winter","300",313
"Dunster","(9, Inf]","Winter","330",71
"Dunster","(6,9]","Summer","0",1
"Dunster","(6,9]","Summer","30",2
"Dunster","(6,9]","Summer","60",3
"Dunster","(6,9]","Summer","90",3
"Dunster","(6,9]","Summer","120",176
"Dunster","(6,9]","Summer","150",43
"Dunster","(6,9]","Summer","180",1
"Dunster","(6,9]","Summer","210",2
"Dunster","(6,9]","Summer","240",1
"Dunster","(6,9]","Summer","270",63
"Dunster","(6,9]","Summer","300",1549
"Dunster","(6,9]","Summer","330",161
"Dunster","(6,9]","Winter","0",1
"Dunster","(6,9]","Winter","60",1
"Dunster","(6,9]","Winter","90",2
"Dunster","(6,9]","Winter","120",3652
"Dunster","(6,9]","Winter","150",347
"Dunster","(6,9]","Winter","240",1
"Dunster","(6,9]","Winter","270",55
"Dunster","(6,9]","Winter","300",1074
"Dunster","(6,9]","Winter","330",220
"Dunster","(3,6]","Summer","0",21
"Dunster","(3,6]","Summer","30",12
"Dunster","(3,6]","Summer","60",18
"Dunster","(3,6]","Summer","90",41
"Dunster","(3,6]","Summer","120",945
"Dunster","(3,6]","Summer","150",672
"Dunster","(3,6]","Summer","180",122
"Dunster","(3,6]","Summer","210",189
"Dunster","(3,6]","Summer","240",38
"Dunster","(3,6]","Summer","270",1005
"Dunster","(3,6]","Summer","300",3007
"Dunster","(3,6]","Summer","330",311
"Dunster","(3,6]","Winter","0",7
"Dunster","(3,6]","Winter","30",7
"Dunster","(3,6]","Winter","60",14
"Dunster","(3,6]","Winter","90",62
"Dunster","(3,6]","Winter","120",6315
"Dunster","(3,6]","Winter","150",1874
"Dunster","(3,6]","Winter","180",334
"Dunster","(3,6]","Winter","210",295
"Dunster","(3,6]","Winter","240",75
"Dunster","(3,6]","Winter","270",669
"Dunster","(3,6]","Winter","300",1975
"Dunster","(3,6]","Winter","330",360
"Dunster","(-Inf,3]","Summer","0",399
"Dunster","(-Inf,3]","Summer","30",287
"Dunster","(-Inf,3]","Summer","60",417
"Dunster","(-Inf,3]","Summer","90",927
"Dunster","(-Inf,3]","Summer","120",4540
"Dunster","(-Inf,3]","Summer","150",5156
"Dunster","(-Inf,3]","Summer","180",4287
"Dunster","(-Inf,3]","Summer","210",3191
"Dunster","(-Inf,3]","Summer","240",2908
"Dunster","(-Inf,3]","Summer","270",6893
"Dunster","(-Inf,3]","Summer","300",4557
"Dunster","(-Inf,3]","Summer","330",1001
"Dunster","(-Inf,3]","Winter","0",184
"Dunster","(-Inf,3]","Winter","30",125
"Dunster","(-Inf,3]","Winter","60",188
"Dunster","(-Inf,3]","Winter","90",1335
"Dunster","(-Inf,3]","Winter","120",13348
"Dunster","(-Inf,3]","Winter","150",5637
"Dunster","(-Inf,3]","Winter","180",3277
