"Site","months","monthly","Temp_avg","Temp_min","Temp_max","Rain_sum","Pressure_avg","RH_avg","DP_avg","WS_avg","WD_avg","GS_max","SR_avg","WC_avg_15cm","WC_avg_5cm","WC_avg_30cm","ST_avg","W_avg","SD_avg"
"Atlin Monarch Mt","Jan","mean",-12.09,-14.64,-9.76,0.09,846.78,91.12,-13.26,1.31,9.22,5.16,15.99,NA,NA,NA,NA,NA,NA
"Atlin Monarch Mt","Jan","max",3.34,1.75,5.44,10.6,857.2,98.63,0.86,7.07,87,17.25,74.26,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf
"Atlin Monarch Mt","Jan","min",-34.72,-36.15,-33.06,0,835.7,74.03,-37.13,0,270.15,0,3.47,Inf,Inf,Inf,Inf,Inf,Inf
"Atlin Monarch Mt","Jan","obs_na",124,124,124,62,217,124,124,124,186,124,124,248,248,248,248,248,248
"Atlin Monarch Mt","Feb","mean",-10.76,-13.22,-8.46,0.01,853.83,86.44,-12.76,2.24,356.69,7.4,48.31,NA,NA,NA,NA,NA,NA
"Atlin Monarch Mt","Feb","max",-1.08,-2.63,0.63,0.6,868.5,98.62,-2.2,8.2,83.68,21.14,107.9,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf
"Atlin Monarch Mt","Feb","min",-28.22,-29.93,-27.21,0,832.7,30.68,-30.13,0,270.24,0,11.13,Inf,Inf,Inf,Inf,Inf,Inf
"Atlin Monarch Mt","Feb","obs_na",113,113,113,56,198,113,113,127,170,127,113,226,226,226,226,226,226
"Atlin Monarch Mt","Mar","mean",-10.73,-13.26,-8.15,0.03,851.65,81.38,-13.46,2.7,26.32,8.35,118.45,NA,NA,NA,NA,NA,NA
"Atlin Monarch Mt","Mar","max",2.79,0.91,5.13,0.8,862.4,96.19,-2.29,6.46,87.98,17.44,204.36,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf
"Atlin Monarch Mt","Mar","min",-25.31,-27.15,-23.52,0,834.5,41.15,-29.8,0,270.44,0,47.38,Inf,Inf,Inf,Inf,Inf,Inf
"Atlin Monarch Mt","Mar","obs_na",124,124,124,62,217,124,124,155,186,155,124,248,248,248,248,248,248
"Atlin Monarch Mt","Apr","mean",-4.83,-7.47,-2.04,0.19,850.39,77.07,-8.41,3.66,18.28,10.4,190.57,NA,NA,NA,NA,NA,NA
"Atlin Monarch Mt","Apr","max",0.92,-0.85,4.35,6.4,858.7,98.2,-1.62,7.41,89.68,20.59,307.75,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf
"Atlin Monarch Mt","Apr","min",-15.65,-18.56,-12.57,0,841.5,47.17,-19.51,1.13,274.34,5.01,70.77,Inf,Inf,Inf,Inf,Inf,Inf
"Atlin Monarch Mt","Apr","obs_na",120,120,120,60,210,120,120,167,180,167,120,240,240,240,240,240,240
"Atlin Monarch Mt","May","mean",2.36,-0.65,5.52,0.66,854.24,72.93,-2.52,2.92,31.13,9.38,247.43,NA,NA,NA,NA,NA,NA
"Atlin Monarch Mt","May","max",13.65,10.12,18.34,15,862.6,99,4.12,6.02,87.86,14.59,395.78,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf
"Atlin Monarch Mt","May","min",-4.98,-7.94,-2.57,0,846.6,32.55,-11.76,0.88,272.18,4.08,67.9,Inf,Inf,Inf,Inf,Inf,Inf
"Atlin Monarch Mt","May","obs_na",124,124,124,62,217,124,124,186,186,186,124,248,248,248,248,248,248
"Atlin Monarch Mt","Jun","mean",6.71,3.14,10.8,0.76,854.49,71.86,1.53,2.65,32.88,9.12,263.85,NA,NA,NA,NA,NA,NA
"Atlin Monarch Mt","Jun","max",17.09,13.31,22.13,7.8,863.7,100,8.97,4.82,87.48,12.99,383.07,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf
"Atlin Monarch Mt","Jun","min",0.08,-2.48,1.51,0,846.3,38.32,-4.85,0.36,270.72,4.82,76.03,Inf,Inf,Inf,Inf,Inf,Inf
"Atlin Monarch Mt","Jun","obs_na",120,120,120,60,210,120,120,180,180,180,120,240,240,240,240,240,240
"Atlin Monarch Mt","Jul","mean",9,5.51,13.1,0.97,862.77,72.23,3.85,2.47,33.5,8.32,233.98,NA,NA,NA,NA,NA,NA
"Atlin Monarch Mt","Jul","max",18.86,14.43,22.92,18,870.5,97.06,8.72,4.22,88.98,12.58,362.18,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf
"Atlin Monarch Mt","Jul","min",2.62,-1.19,4.53,0,855.3,45.83,-1.51,0.31,270.73,4.53,41.72,Inf,Inf,Inf,Inf,Inf,Inf
"Atlin Monarch Mt","Jul","obs_na",124,124,124,62,217,124,124,186,186,186,124,248,248,248,248,248,248
"Atlin Monarch Mt","Aug","mean",7.1,4.39,10.64,1.69,854.72,81.28,3.81,2.88,26.98,8.84,161.44,NA,NA,NA,NA,NA,NA
"Atlin Monarch Mt","Aug","max",17.98,14.96,22.85,24.2,867.3,99.4,8.98,5.02,88.49,14.59,306.03,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf
"Atlin Monarch Mt","Aug","min",2.23,-0.48,3.91,0,846.3,46.85,-0.46,0.8,274.24,4.64,9.05,Inf,Inf,Inf,Inf,Inf,Inf
"Atlin Monarch Mt","Aug","obs_na",122,122,122,57,215,122,122,153,170,153,110,249,249,249,249,249,249
"Atlin Monarch Mt","Sep","mean",3.4,1.01,6.28,1.61,854.08,84.6,0.84,2.79,15.35,9.05,107.27,NA,NA,NA,NA,NA,NA
"Atlin Monarch Mt","Sep","max",13.61,9.09,18.34,17.2,863,100,8.51,7.05,83.31,23.01,224.83,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf
"Atlin Monarch Mt","Sep","min",-2.14,-3.84,-1.21,0,842.9,44.34,-6.02,0.1,286.35,3.52,22.7,Inf,Inf,Inf,Inf,Inf,Inf
"Atlin Monarch Mt","Sep","obs_na",120,120,120,60,210,120,120,120,150,120,90,240,240,240,240,240,240
"Atlin Monarch Mt","Oct","mean",-3.03,-4.7,-1.16,0.44,850.64,88.15,-4.86,2.96,17.13,9.99,56.03,NA,NA,NA,NA,NA,NA
"Atlin Monarch Mt","Oct","max",9.05,6.31,13.69,11.2,867.5,100,5.25,8.29,83.35,22.26,132.8,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf
"Atlin Monarch Mt","Oct","min",-17.11,-19.1,-16.24,0,825.9,42.53,-18.4,0,273.83,0,12.02,Inf,Inf,Inf,Inf,Inf,Inf
"Atlin Monarch Mt","Oct","obs_na",124,124,124,62,217,124,124,124,155,124,93,248,248,248,248,248,248
"Atlin Monarch Mt","Nov","mean",-11.77,-14.16,-9.51,0.03,847.24,91.09,-12.96,2.12,7.82,7.15,21.35,NA,NA,NA,NA,NA,NA
"Atlin Monarch Mt","Nov","max",-1.33,-2.45,1.67,3,869.2,99.23,-1.79,9.57,89.63,22.82,63.63,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf
"Atlin Monarch Mt","Nov","min",-27,-29.32,-24.65,0,830.9,76.5,-28.85,0,271.78,0,3.88,Inf,Inf,Inf,Inf,Inf,Inf
"Atlin Monarch Mt","Nov","obs_na",120,120,120,60,210,120,120,109,150,109,90,240,240,240,240,240,240
"Atlin Monarch Mt","Dec","mean",-12.06,-14.19,-9.94,0.04,871.85,87.19,-13.9,2,28.01,7.74,8.91,NA,NA,NA,NA,NA,NA
"Atlin Monarch Mt","Dec","max",2.25,1.75,4.25,1.8,1054.8,99.7,-0.35,8.96,87.7,39.33,19.72,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf
"Atlin Monarch Mt","Dec","min",-26.83,-29.32,-25.1,0,803.8,39.4,-30.52,0,271.87,0,1.6,Inf,Inf,Inf,Inf,Inf,Inf
"Atlin Monarch Mt","Dec","obs_na",124,124,124,62,217,124,124,124,182,124,98,248,248,248,248,248,248
"Atlin School","Jan","mean",-10.46,-13.87,-7.33,0.46,NA,87.37,-12.01,0.15,355.78,2.24,5.11,NA,NA,NA,NA,NA,NA
"Atlin School","Jan","max",7.31,4.45,10.79,38.4,-Inf,98.9,2.43,1.32,88.79,9.65,15.55,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf
"Atlin School","Jan","min",-35.21,-38.91,-30.76,0,Inf,59.65,-37.87,0,271.08,0,0.76,Inf,Inf,Inf,Inf,Inf,Inf
"Atlin School","Jan","obs_na",0,0,0,0,434,31,31,0,0,0,0,434,434,434,434,434,434
"Atlin School","Feb","mean",-10.55,-14.88,-6.03,0.23,NA,81.85,-13.06,0.23,357.14,2.89,17.76,NA,NA,NA,NA,NA,NA
"Atlin School","Feb","max",4.23,1.91,7.02,19.2,-Inf,97.75,1.14,1.23,89.88,8.91,42.07,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf
"Atlin School","Feb","min",-34.55,-38.51,-28.53,0,Inf,57.48,-37.26,0,270.43,0,2.17,Inf,Inf,Inf,Inf,Inf,Inf
"Atlin School","Feb","obs_na",0,0,0,0,396,28,28,0,0,0,0,396,396,396,396,396,396
"Atlin School","Mar","mean",-6.17,-11.34,-0.44,0.18,NA,72.15,-10.34,0.34,12.23,3.46,47.95,NA,NA,NA,NA,NA,NA
"Atlin School","Mar","max",7.89,5.41,15.22,5.8,-Inf,93.66,1.19,1.39,89.62,8.72,99.83,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf
"Atlin School","Mar","min",-22.69,-29.39,-17.51,0,Inf,40.12,-27.65,0,270.1,0,6.7,Inf,Inf,Inf,Inf,Inf,Inf
"Atlin School","Mar","obs_na",0,0,0,0,434,31,31,0,0,0,0,434,434,434,434,434,434
"Atlin School","Apr","mean",1.03,-3.88,6.5,0.16,NA,64.83,-5.36,0.4,15.39,4.06,91.2,NA,NA,NA,NA,NA,NA
"Atlin School","Apr","max",8.32,4.87,17.06,6.4,-Inf,97.09,4.2,1.66,89.77,7.79,174.58,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf
"Atlin School","Apr","min",-14.32,-23.52,-10.79,0,Inf,37.71,-20.68,0,270.14,0,27.43,Inf,Inf,Inf,Inf,Inf,Inf
"Atlin School","Apr","obs_na",0,0,0,0,420,30,30,0,0,0,0,420,420,420,420,420,420
"Atlin School","May","mean",7.57,1.51,13.56,0.33,NA,60.63,-0.36,0.42,26.63,4.28,115.38,NA,NA,NA,NA,NA,NA
"Atlin School","May","max",16.48,11.2,25.77,10.4,-Inf,95.67,7.74,1.4,89.08,7.79,190.46,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf
"Atlin School","May","min",0.16,-4.83,3.27,0,Inf,34.81,-8.29,0,270.03,0,35.77,Inf,Inf,Inf,Inf,Inf,Inf
"Atlin School","May","obs_na",0,0,0,0,434,31,31,0,0,0,0,434,434,434,434,434,434
"Atlin School","Jun","mean",11.31,5.45,17.11,0.6,NA,65.28,4.37,0.37,24.86,3.79,113.54,NA,NA,NA,NA,NA,NA
"Atlin School","Jun","max",20.09,14.58,29.54,21.8,-Inf,98.28,11.15,0.89,90,6.68,193.69,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf
"Atlin School","Jun","min",4.09,-2.16,5.1,0,Inf,40.15,-3.17,0,270.15,0,18.59,Inf,Inf,Inf,Inf,Inf,Inf
"Atlin School","Jun","obs_na",0,0,0,0,414,30,30,0,0,0,0,414,414,414,414,414,414
"Atlin School","Jul","mean",13.33,8.01,18.77,0.67,NA,69.22,7.31,0.3,21.76,3.41,97.39,NA,NA,NA,NA,NA,NA
"Atlin School","Jul","max",20.96,14.58,30.75,22.8,-Inf,98.66,13.92,1.01,89.91,5.57,182.33,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf
"Atlin School","Jul","min",6.82,-0.48,9.31,0,Inf,35.56,0.34,0,270.21,0,5.56,Inf,Inf,Inf,Inf,Inf,Inf
"Atlin School","Jul","obs_na",0,0,0,0,403,27,27,0,0,0,0,403,403,403,403,403,403
"Atlin School","Aug","mean",12.09,7.33,17.39,0.89,NA,72.44,6.88,0.29,17.77,3.55,67.47,NA,NA,NA,NA,NA,NA
"Atlin School","Aug","max",20.23,13.86,29.24,17.8,-Inf,98.93,13.49,0.92,89.72,8.53,127.38,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf
"Atlin School","Aug","min",3.05,-0.31,4.06,0,Inf,47.71,-0.27,0.01,270.25,1.86,17.6,Inf,Inf,Inf,Inf,Inf,Inf
"Atlin School","Aug","obs_na",0,0,0,0,402,11,11,0,0,0,0,402,402,402,402,402,402
"Atlin School","Sep","mean",7.64,3.38,12.41,0.84,NA,77.31,3.65,0.27,15.92,3.54,45.86,NA,NA,NA,NA,NA,NA
"Atlin School","Sep","max",16.8,12.58,25.04,20.2,-Inf,98.98,10.95,0.94,89.95,8.16,95.09,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf
"Atlin School","Sep","min",0.47,-4.05,2.69,0,Inf,54.75,-5.96,0,270.03,0.93,11.7,Inf,Inf,Inf,Inf,Inf,Inf
"Atlin School","Sep","obs_na",0,0,0,0,393,30,30,0,0,0,0,393,393,393,393,393,393
"Atlin School","Oct","mean",1.86,-1.4,5.56,0.57,NA,81.68,-1.17,0.25,4.81,3.43,20.68,NA,NA,NA,NA,NA,NA
"Atlin School","Oct","max",12.13,9.48,17.51,11,-Inf,99.99,8.38,0.98,87.86,8.91,51.87,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf
"Atlin School","Oct","min",-14.35,-19.19,-8.53,0,Inf,50.26,-17.38,0,270.26,0,1.86,Inf,Inf,Inf,Inf,Inf,Inf
"Atlin School","Oct","obs_na",0,0,0,0,403,31,31,0,0,0,0,403,403,403,403,403,403
"Atlin School","Nov","mean",-5.67,-8.82,-2.79,0.27,NA,85.95,-7.88,0.19,355.92,2.89,6.93,NA,NA,NA,NA,NA,NA
"Atlin School","Nov","max",6.53,4.79,9.04,10.2,-Inf,99.56,2.01,2,89.71,10.58,20.86,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf
"Atlin School","Nov","min",-25.66,-28.86,-21.57,0,Inf,41.09,-28.44,0,270.83,0,0.86,Inf,Inf,Inf,Inf,Inf,Inf
"Atlin School","Nov","obs_na",0,0,0,0,401,30,30,0,0,0,0,401,401,401,401,401,401
"Atlin School","Dec","mean",-9.62,-12.68,-6.82,0.28,NA,86.57,-11.1,0.17,352.4,2.45,3,NA,NA,NA,NA,NA,NA
"Atlin School","Dec","max",5.58,3.04,8.96,26,-Inf,99.92,2.52,1.31,89.91,12.99,10.4,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf
"Atlin School","Dec","min",-30.52,-32.67,-27.96,0,Inf,55.39,-33.4,0,270.95,0,0.65,Inf,Inf,Inf,Inf,Inf,Inf
"Atlin School","Dec","obs_na",0,0,0,0,434,31,31,0,0,0,0,434,434,434,434,434,434
"Barren","Jan","mean",-6.65,-10.1,-3.49,0.82,891.79,92.68,-7.68,0.38,11.65,5.22,27.38,0.1,0.15,0.14,0.92,NA,NA
"Barren","Jan","max",3.72,0.85,8.1,13.2,910.03,100,2.35,1.87,89.78,12.08,68.94,0.12,0.24,0.17,1.53,-Inf,-Inf
"Barren","Jan","min",-31.61,-36.15,-25.84,0,872.31,68.44,-33.85,0,270.44,0,3.68,0.06,0.09,0.1,0.22,Inf,Inf
"Barren","Jan","obs_na",0,0,0,0,0,0,0,0,0,0,0,0,31,0,0,124,124
"Barren","Feb","mean",-7.21,-11.77,-2.78,0.54,890.55,85.32,-9.39,0.69,12.96,6.17,61.57,0.11,0.17,0.14,0.76,NA,NA
"Barren","Feb","max",2.81,0.47,8.12,10.8,909.72,100,1.97,3.12,87.74,13.59,116.02,0.13,0.24,0.16,1.4,-Inf,-Inf
"Barren","Feb","min",-24.97,-31.33,-20.07,0,870.52,63.81,-27.21,0,271.09,0,6.07,0.09,0.11,0.12,0.31,Inf,Inf
"Barren","Feb","obs_na",0,0,0,0,0,0,0,0,0,0,0,0,29,0,0,113,113
"Barren","Mar","mean",-2.74,-7.77,2.31,0.46,888.53,75.9,-6.88,0.7,16.16,6.41,123.52,0.12,0.18,0.15,0.71,NA,NA
"Barren","Mar","max",4.03,0.38,13.98,8.4,906.79,98.79,1.88,2.5,88.57,13.59,222.96,0.16,0.26,0.18,1.29,-Inf,-Inf
"Barren","Mar","min",-18.33,-25.9,-16.49,0,872.19,51.89,-21.04,0,272.36,2.52,41.75,0.07,0.13,0.13,0.38,Inf,Inf
"Barren","Mar","obs_na",0,0,0,0,0,0,0,0,0,0,0,0,31,0,0,124,124
"Barren","Apr","mean",0.75,-4.39,5.8,1.05,891.06,69.72,-4.81,0.9,14.37,7.62,179.6,0.15,0.21,0.16,0.98,NA,NA
"Barren","Apr","max",7.54,2.9,17.77,19.8,909.11,98.75,1.7,2.43,86.87,13.09,294.78,0.19,0.31,0.23,4.09,-Inf,-Inf
"Barren","Apr","min",-10.11,-14.95,-6.01,0,867.48,44.04,-19.43,0.08,270.32,3.52,52.64,0.11,0.15,0.14,0.49,Inf,Inf
"Barren","Apr","obs_na",0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,120,120
"Barren","May","mean",6.72,0.95,12.43,1.02,892.43,68.47,0.59,0.98,32.39,7.51,218.54,0.13,0.2,0.16,5.93,NA,NA
"Barren","May","max",19.03,9.66,28.77,12.4,907.08,92.68,6.49,3.02,87.27,11.58,367.18,0.2,0.27,0.28,10.8,-Inf,-Inf
"Barren","May","min",0.6,-3.57,2.88,0,878.36,43.79,-4.47,0.12,279.56,4.53,84.15,0.09,0.12,0.13,0.49,Inf,Inf
"Barren","May","obs_na",0,0,0,0,0,0,0,0,0,0,0,0,27,0,0,124,124
"Barren","Jun","mean",11.31,5.1,16.99,1.52,893.99,64.79,4,1.05,32,7.63,250.8,0.11,0.19,0.14,10.36,NA,NA
"Barren","Jun","max",19.19,11.71,27.14,17.4,904.5,91.13,10.7,2.94,87.75,12.08,376.61,0.16,0.28,0.17,13.76,-Inf,-Inf
"Barren","Jun","min",4.95,-2.48,6.54,0,875.02,33.07,-1.67,0.06,271.66,3.52,55.73,0.04,0.09,0.07,7.62,Inf,Inf
"Barren","Jun","obs_na",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,120,120
"Barren","Jul","mean",14.25,7.94,20.15,1.94,896.43,68.72,7.75,0.97,41.02,7.26,242.72,0.08,0.14,0.11,13.2,NA,NA
"Barren","Jul","max",21.9,14.15,29.69,61.2,903.51,96.28,12.6,3.06,88.73,12.58,359.37,0.18,0.27,0.18,15.6,-Inf,-Inf
"Barren","Jul","min",7.3,-0.26,10.93,0,887.28,36.26,2.09,0.08,283.32,4.53,81.55,0.02,0.04,0.05,10.9,Inf,Inf
"Barren","Jul","obs_na",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,146,146
"Barren","Aug","mean",14.18,7.7,20.47,1.12,896.23,68.38,7.61,0.86,35.04,7.04,206.33,0.06,0.11,0.08,13.39,NA,NA
"Barren","Aug","max",21.48,13.81,29.41,23.8,905.18,98.29,12.69,2.5,78.26,13.09,318.53,0.13,0.2,0.2,15.47,-Inf,-Inf
"Barren","Aug","min",4.75,-0.09,9.24,0,883.78,43.93,2.51,0.06,288.61,3.02,37.75,0.04,0.06,0.05,10.22,Inf,Inf
"Barren","Aug","obs_na",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,155,155
"Barren","Sep","mean",9.01,3.45,14.78,1.38,892.83,77.63,4.75,0.59,29.29,6.45,132.05,0.06,0.11,0.08,10.42,NA,NA
"Barren","Sep","max",18.55,10.83,28.59,18.6,905.21,98.69,10.47,2.01,81.77,12.08,233.63,0.17,0.19,0.2,14.14,-Inf,-Inf
"Barren","Sep","min",-0.83,-3.3,0.33,0,875.8,46.75,-1.08,0,282.31,1.51,11.5,0.03,0.08,0.05,6.75,Inf,Inf
"Barren","Sep","obs_na",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,144,144
"Barren","Oct","mean",2.47,-1.65,6.81,1.51,891,86,0.15,0.45,22.64,6.05,69.29,0.1,0.13,0.12,5.6,NA,NA
"Barren","Oct","max",11.71,9.14,20.41,19,906.79,99.81,8.03,2.48,89.03,13.09,153.32,0.18,0.24,0.18,10.09,-Inf,-Inf
"Barren","Oct","min",-9.61,-14.9,-7.64,0,868.5,62.92,-11.46,0,270.49,2.52,9.72,0.03,0.07,0.06,1.76,Inf,Inf
"Barren","Oct","obs_na",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,124,124
"Barren","Nov","mean",-4.43,-7.69,-1.43,1.26,889.25,94.03,-5.27,0.42,12.63,5.53,30.24,0.1,0.14,0.13,1.85,NA,NA
"Barren","Nov","max",4.92,1.89,10.27,24.2,917.1,99.96,3.88,2.39,86.17,13.09,91.13,0.17,0.26,0.2,3.72,-Inf,-Inf
"Barren","Nov","min",-20.4,-26.08,-18.25,0,870.47,79.05,-22.78,0,274.73,0,1.65,0.04,0.07,0.07,0.59,Inf,Inf
"Barren","Nov","obs_na",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,120,120
"Barren","Dec","mean",-9.24,-12.98,-5.84,0.24,887.73,93.94,-10.03,0.17,13,3.83,18.27,0.1,0.15,0.14,1.14,NA,NA
"Barren","Dec","max",2.42,0.55,5.59,14.4,914.21,100,2.35,1.49,85.29,11.07,43.68,0.14,0.26,0.17,2.31,-Inf,-Inf
"Barren","Dec","min",-31.36,-35.36,-24.65,0,863.58,76.78,-33.76,0,270.32,0,1.65,0.06,0.08,0.09,0.35,Inf,Inf
"Barren","Dec","obs_na",0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,124,124
"Blackhawk","Jan","mean",-8.49,-14.52,-2.84,0.37,900.78,82.12,-11.28,0.96,17.94,6.94,25.41,0.05,NA,NA,-1.31,NA,29.83
"Blackhawk","Jan","max",9.08,7.29,13.91,9.4,923.82,99.9,0.71,6.79,89.83,25.42,69.2,0.21,-Inf,-Inf,-0.04,-Inf,54.53
"Blackhawk","Jan","min",-37.43,-45.84,-31.99,0,873.73,41.07,-39.87,0,270.03,0,3.42,0,Inf,Inf,-2.85,Inf,0
"Blackhawk","Jan","obs_na",0,0,0,0,0,0,0,0,48,0,0,189,407,407,391,407,143
"Blackhawk","Feb","mean",-9.75,-16.98,-3.33,0.21,901.05,78.29,-13.18,1.05,19.65,7.44,57.7,0.05,NA,NA,NA,NA,33.1
"Blackhawk","Feb","max",6.91,4.58,13.91,11,926.06,98.73,2.16,5.06,89.96,18.13,125.61,0.13,-Inf,-Inf,-Inf,-Inf,71.06
"Blackhawk","Feb","min",-37.25,-45.28,-28.47,0,875.85,46.83,-39.77,0,270.68,1.01,8.42,0,Inf,Inf,Inf,Inf,0
"Blackhawk","Feb","obs_na",0,0,0,0,0,0,0,0,56,0,0,157,367,367,367,367,137
"Blackhawk","Mar","mean",-5.02,-12.78,1.82,0.4,900.61,74.61,-9.47,1.05,21,7.39,113.63,0.08,NA,NA,NA,NA,31.68
"Blackhawk","Mar","max",8.07,3.54,21.08,10.4,925.15,98.99,1.68,5.18,89.32,18.92,226.61,0.26,-Inf,-Inf,-Inf,-Inf,99.99
"Blackhawk","Mar","min",-31.3,-42.32,-22.63,0,880.25,44.7,-36.16,0,270.85,0,11.23,0,Inf,Inf,Inf,Inf,0
"Blackhawk","Mar","obs_na",0,0,0,0,0,0,0,0,62,0,0,162,403,403,403,403,127
"Blackhawk","Apr","mean",1.37,-6.32,7.71,0.58,901.34,68.08,-4.86,1.28,25.37,8.39,170.31,0.13,NA,NA,NA,NA,11.87
"Blackhawk","Apr","max",15.98,5.46,25.96,13.6,921.35,100,3.84,5.87,89.15,20.04,276.6,0.25,-Inf,-Inf,-Inf,-Inf,72.69
"Blackhawk","Apr","min",-17.2,-29.72,-9.99,0,877.21,35.16,-20.62,0.06,270.84,2.77,27.86,0.01,Inf,Inf,Inf,Inf,0
"Blackhawk","Apr","obs_na",0,0,0,0,0,0,0,0,60,0,0,150,390,390,390,390,120
"Blackhawk","May","mean",8.57,-0.61,15.71,1.23,902.74,64.92,0.97,1.12,24.57,8.12,207.91,0.12,NA,NA,NA,NA,0.17
"Blackhawk","May","max",19.84,10.61,32.41,27,919.41,99.91,9.88,4.11,89.43,20.41,335.1,0.17,-Inf,-Inf,-Inf,-Inf,8.91
"Blackhawk","May","min",-3.49,-9.4,-0.84,0,887.19,32.53,-11.4,0.04,270.3,2.77,10.61,0.04,Inf,Inf,Inf,Inf,0
"Blackhawk","May","obs_na",0,0,0,0,0,0,0,0,62,0,0,162,410,410,410,410,131
"Blackhawk","Jun","mean",12.37,3.88,18.8,2.24,901.98,67.54,5.43,1.28,21.96,8.5,223.37,0.11,NA,NA,NA,NA,0
"Blackhawk","Jun","max",28.2,14.84,39.86,56.8,914.07,99.93,15.81,4.53,89.2,15.61,348.22,0.16,-Inf,-Inf,-Inf,-Inf,0
"Blackhawk","Jun","min",2.45,-5.51,4.92,0,885.51,35.22,-4.46,0.09,270.09,3.53,27.28,0.04,Inf,Inf,Inf,Inf,0
"Blackhawk","Jun","obs_na",0,0,0,0,0,0,0,0,60,0,0,180,420,420,420,420,150
"Blackhawk","Jul","mean",14.71,6.19,21.49,1.9,904.35,70.63,8.39,1.06,17.64,7.91,213.03,0.11,NA,NA,16.92,NA,0
"Blackhawk","Jul","max",23,15.82,34.36,44.6,916.28,99.53,15.65,3.43,89.32,14.84,353.38,0.18,-Inf,-Inf,20.58,-Inf,0
"Blackhawk","Jul","min",5.79,-1.76,8.77,0,891.1,37.23,1.65,0,270.9,1.26,35.67,0.03,Inf,Inf,14.21,Inf,0
"Blackhawk","Jul","obs_na",0,0,0,0,0,0,0,0,62,0,0,199,434,434,412,434,155
"Blackhawk","Aug","mean",13.66,5.18,20.88,1.75,904.01,72.94,7.96,0.98,26.34,7.83,179.47,0.1,NA,NA,15.78,NA,0
"Blackhawk","Aug","max",23.45,18.01,31.46,53.01,917.97,99.99,17.14,4.3,87.12,17.25,298.69,0.19,-Inf,-Inf,18.19,-Inf,0
"Blackhawk","Aug","min",5.51,-3.75,7.89,0,887.47,37,0.91,0.01,270.66,2.52,23.33,0.03,Inf,Inf,12.85,Inf,0
"Blackhawk","Aug","obs_na",0,0,0,0,0,0,0,0,50,0,0,155,434,434,372,434,155
"Blackhawk","Sep","mean",8.73,0.84,15.95,1.03,902.5,75.58,3.8,0.92,27.19,7.73,125.71,0.09,NA,NA,13.15,NA,0.05
"Blackhawk","Sep","max",20.29,11.18,30.29,26.8,920.44,100,10.71,3.97,89.97,16.7,225.51,0.17,-Inf,-Inf,17.47,-Inf,8.54
"Blackhawk","Sep","min",-3.84,-11.61,-2.48,0,879.11,38.47,-5.51,0,271.96,0.25,14.05,0.02,Inf,Inf,7.47,Inf,0
"Blackhawk","Sep","obs_na",0,0,0,0,0,0,0,0,30,0,0,150,420,420,360,420,150
"Blackhawk","Oct","mean",1.86,-4.38,7.81,1.04,901.32,80.77,-1.64,0.84,17.49,7.2,67.66,0.1,NA,NA,4.99,NA,1.75
"Blackhawk","Oct","max",14.08,9.85,24.68,23,920.1,100,7.5,4.18,88.2,21.34,138.68,0.16,-Inf,-Inf,9.83,-Inf,25.83
"Blackhawk","Oct","min",-18.35,-27.71,-13.43,0,880.08,30.69,-19.71,0,272.78,0,6.13,0.02,Inf,Inf,1.44,Inf,0
"Blackhawk","Oct","obs_na",0,0,0,0,0,0,0,0,31,0,0,155,434,434,372,434,149
"Blackhawk","Nov","mean",-5.6,-11.64,-0.05,0.45,899.77,84.49,-8.06,0.76,16.55,6.61,32.97,0.1,NA,NA,0.02,NA,10.87
"Blackhawk","Nov","max",11.15,4.43,16.53,14,929.98,99.98,3.1,5.56,87.8,20.97,78.78,0.17,-Inf,-Inf,3.05,-Inf,42.2
