"Site","gseason","grow_season","Temp_avg","Temp_min","Temp_max","Rain_sum","Pressure_avg","RH_avg","DP_avg","WS_avg","WD_avg","GS_max","SR_avg","WC_avg_15cm","WC_avg_5cm","WC_avg_30cm","ST_avg","W_avg","SD_avg"
"Gnat Pass","Summer (May-Sep)","min",-6.22,-9.51,-2.22,0,802.8,26.1,-12.1,0,270.03,0,32.18,Inf,Inf,Inf,Inf,Inf,Inf
"Gnat Pass","Summer (May-Sep)","obs_na",0,0,0,0,0,0,0,0,0,0,0,679,679,679,679,679,679
"Gnat Pass","Winter (Oct-Apr)","mean",-6.77,-8.95,-4.54,0.18,822.95,83.03,-9.45,3.16,8.64,9.71,71.34,NA,NA,NA,NA,NA,NA
"Gnat Pass","Winter (Oct-Apr)","max",10,5.82,13.26,11.8,847.56,97.96,5.37,12.22,89.5,36.55,308.44,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf
"Gnat Pass","Winter (Oct-Apr)","min",-25.64,-30.41,-23.36,0,791.07,12.34,-31.05,0,270.08,0,3.83,Inf,Inf,Inf,Inf,Inf,Inf
"Gnat Pass","Winter (Oct-Apr)","obs_na",0,0,0,0,22,0,0,0,0,0,0,849,849,849,849,849,849
"Gunnel","Summer (May-Sep)","mean",7.62,4.8,10.59,2.93,846.88,72.9,2.42,2.76,2.99,10.32,183.22,NA,NA,NA,NA,NA,NA
"Gunnel","Summer (May-Sep)","max",23.91,20.53,29.66,75,865.2,100,14.87,9.57,89.37,49.31,382.34,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf
"Gunnel","Summer (May-Sep)","min",-11.66,-14.08,-9.99,0,828.75,24.43,-12.41,0,270.67,0.39,16.08,Inf,Inf,Inf,Inf,Inf,Inf
"Gunnel","Summer (May-Sep)","obs_na",0,0,0,0,0,0,0,0,0,0,0,655,655,655,655,655,655
"Gunnel","Winter (Oct-Apr)","mean",-7.82,-11.13,-4.42,0.09,840.48,69.9,-13.09,3.01,1.65,10.86,65.83,NA,NA,NA,NA,NA,NA
"Gunnel","Winter (Oct-Apr)","max",12.22,8.52,15.87,7.6,864.35,99.91,4.52,7.54,89.5,28.07,272.6,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf
"Gunnel","Winter (Oct-Apr)","min",-36.08,-37.82,-35.27,0,812.34,13.73,-38.75,0,270.79,0,2.9,Inf,Inf,Inf,Inf,Inf,Inf
"Gunnel","Winter (Oct-Apr)","obs_na",0,0,0,0,0,0,0,0,0,0,0,849,849,849,849,849,849
"Hourglass","Summer (May-Sep)","mean",11.8,6.56,16.9,1.77,885.1,65.56,4.81,1.86,26.27,-Inf,208.43,0.2,NA,NA,14.05,NA,0.1
"Hourglass","Summer (May-Sep)","max",29.7,21.84,36.74,106.6,901.55,99.23,15.5,7.3,89.67,19.85,399.84,0.46,-Inf,-Inf,18.97,-Inf,14.74
"Hourglass","Summer (May-Sep)","min",-4.91,-9.75,-3.45,0,862,25.81,-13.07,0,270.43,-Inf,0.6,0.07,Inf,Inf,6.64,Inf,0
"Hourglass","Summer (May-Sep)","obs_na",0,0,0,69,48,0,0,117,315,0,21,1161,2114,2114,2040,2114,740
"Hourglass","Winter (Oct-Apr)","mean",-4.34,-8.47,-0.33,0.42,881.4,73.63,-8.73,1.97,23.24,-Inf,76.92,0.14,NA,NA,0.61,NA,22.73
"Hourglass","Winter (Oct-Apr)","max",15.38,10.17,22.85,25.2,910.11,95.53,8.49,10.41,89.79,26.27,318.48,0.55,-Inf,-Inf,8.71,-Inf,73.22
"Hourglass","Winter (Oct-Apr)","min",-35.91,-38.91,-33.85,0,853.2,19.06,-39.01,0,270.02,-Inf,4.05,0,Inf,Inf,-3.65,Inf,0
"Hourglass","Winter (Oct-Apr)","obs_na",0,0,0,0,0,0,0,213,424,0,0,1597,2856,2856,2759,2856,885
"Hudson Bay Mountain","Summer (May-Sep)","mean",6.77,4.04,9.85,1.29,829.83,77.85,2.64,4.8,19.56,-Inf,199.59,NA,NA,NA,NA,NA,NA
"Hudson Bay Mountain","Summer (May-Sep)","max",23.66,20.53,27.58,29.6,846.23,100,11.98,16.17,89.92,43.27,398.28,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf
"Hudson Bay Mountain","Summer (May-Sep)","min",-5.49,-8.46,-3.6,0,810.32,29,-9.65,1.18,270.02,-Inf,14.31,Inf,Inf,Inf,Inf,Inf,Inf
"Hudson Bay Mountain","Summer (May-Sep)","obs_na",0,0,0,117,0,0,0,124,0,0,0,1151,1151,1151,1151,1151,1151
"Hudson Bay Mountain","Winter (Oct-Apr)","mean",-5.77,-7.96,-3.52,0.26,822.17,87.22,-7.91,5.09,16.83,-Inf,76.7,NA,NA,NA,NA,NA,NA
"Hudson Bay Mountain","Winter (Oct-Apr)","max",12.04,10.05,15.1,25.61,847.35,100,7.65,23.81,89.92,49.31,304.62,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf
"Hudson Bay Mountain","Winter (Oct-Apr)","min",-30.35,-32.07,-29.32,0,795.68,14.92,-32.56,0,270.08,-Inf,5.14,Inf,Inf,Inf,Inf,Inf,Inf
"Hudson Bay Mountain","Winter (Oct-Apr)","obs_na",0,0,0,0,0,0,0,145,42,0,0,1634,1634,1634,1634,1634,1634
"IBB1 Sweeney Lake","Summer (May-Sep)","mean",9.93,6.34,13.91,0.87,888.61,72.6,4.68,0.08,23.42,2.04,20.93,0.18,NA,NA,NA,14.48,NA
"IBB1 Sweeney Lake","Summer (May-Sep)","max",20.4,16.14,27.95,24.8,898.87,98.93,12.04,0.39,89.95,4.34,48.85,0.26,-Inf,-Inf,-Inf,100,-Inf
"IBB1 Sweeney Lake","Summer (May-Sep)","min",0.6,-1.55,3.16,0,875.3,42.89,-4.19,0,270.26,0,1.55,0.11,Inf,Inf,Inf,1.72,Inf
"IBB1 Sweeney Lake","Summer (May-Sep)","obs_na",0,0,0,0,0,0,0,0,0,0,0,0,158,158,158,0,158
"IBB1 Sweeney Lake","Winter (Oct-Apr)","mean",-2.54,-4.54,-0.35,1.89,883.96,89.79,-4.13,0.04,5.06,1.54,5.35,0.23,NA,NA,NA,25.58,NA
"IBB1 Sweeney Lake","Winter (Oct-Apr)","max",8.54,6.34,11.49,51,902.75,100,8.25,0.49,89.2,5.34,26.65,0.27,-Inf,-Inf,-Inf,97.25,-Inf
"IBB1 Sweeney Lake","Winter (Oct-Apr)","min",-22.92,-24.35,-21.96,0,864.38,52.31,-25.44,0,270.68,0,0.6,0.2,Inf,Inf,Inf,1.3,Inf
"IBB1 Sweeney Lake","Winter (Oct-Apr)","obs_na",0,0,0,0,0,0,0,0,0,0,0,0,213,213,213,0,213
"IBB2 Ganokwa Canyon","Summer (May-Sep)","mean",12.08,8.17,16.7,1.08,905.21,70.62,6.22,0.05,346.03,1.47,23.95,0.29,NA,NA,7.62,16.83,NA
"IBB2 Ganokwa Canyon","Summer (May-Sep)","max",21.12,16.67,29.76,20,915.81,99.99,11.83,0.29,89.16,3.67,57.14,0.46,-Inf,-Inf,10.65,100,-Inf
"IBB2 Ganokwa Canyon","Summer (May-Sep)","min",1.96,-0.89,2.94,0,891.88,36.63,-4.8,0,270.66,0,2.43,0.17,Inf,Inf,1.48,0.96,Inf
"IBB2 Ganokwa Canyon","Summer (May-Sep)","obs_na",0,0,0,0,0,0,0,0,0,0,0,0,214,214,2,0,214
"IBB2 Ganokwa Canyon","Winter (Oct-Apr)","mean",-1.92,-4.06,0.4,0.68,901.44,87.88,-3.92,0.07,7.62,1.52,6.73,0.34,NA,NA,1.89,21.12,NA
"IBB2 Ganokwa Canyon","Winter (Oct-Apr)","max",10.49,9.39,14.56,16.8,921.39,100,9.4,0.6,89.85,5.34,37.54,0.48,-Inf,-Inf,6.55,97.77,-Inf
"IBB2 Ganokwa Canyon","Winter (Oct-Apr)","min",-21.99,-24.56,-19.59,0,880.99,47.32,-23.97,0,271.42,0,0.6,0.17,Inf,Inf,0.02,2.94,Inf
"IBB2 Ganokwa Canyon","Winter (Oct-Apr)","obs_na",0,0,0,0,0,0,0,0,0,0,0,0,212,212,0,0,212
"IBB3 Pine Creek","Summer (May-Sep)","mean",10.81,6.39,15.2,0.54,908.15,74.17,5.76,0.03,19.1,1.31,7.9,0.13,NA,NA,7.13,14.49,NA
"IBB3 Pine Creek","Summer (May-Sep)","max",20.9,14.62,27.93,56.6,921.36,100,12.81,0.3,89.39,3.01,15.72,0.22,-Inf,-Inf,11.58,100,-Inf
"IBB3 Pine Creek","Summer (May-Sep)","min",0.11,-1.62,1.14,0,888.78,38.67,-3.86,0,270.48,0,0.6,0.06,Inf,Inf,0.02,1.03,Inf
"IBB3 Pine Creek","Summer (May-Sep)","obs_na",0,0,0,0,0,0,0,0,0,0,0,0,309,309,0,0,309
"IBB3 Pine Creek","Winter (Oct-Apr)","mean",-2.51,-4.91,0.05,0.72,904.28,90.13,-4.19,0.01,4.33,0.57,2.85,0.14,NA,NA,1.41,23.97,NA
"IBB3 Pine Creek","Winter (Oct-Apr)","max",11.75,9.56,17.44,34,924.84,100,9.06,0.29,89.8,3.34,14.99,0.24,-Inf,-Inf,7.8,100,-Inf
"IBB3 Pine Creek","Winter (Oct-Apr)","min",-27.5,-28.65,-25.1,0,884.06,34.75,-28.81,0,270.01,0,0.6,0.05,Inf,Inf,-0.78,1.88,Inf
"IBB3 Pine Creek","Winter (Oct-Apr)","obs_na",0,0,0,0,0,0,0,0,0,0,0,0,425,425,0,0,425
"Inklin","Summer (May-Sep)","mean",12.32,Inf,-Inf,1.39,1002.47,75.61,7.55,0.13,5.39,-Inf,133.05,NA,NA,NA,NA,NA,NA
"Inklin","Summer (May-Sep)","max",19.87,Inf,35.9,37.8,1015.25,98.5,14.93,0.81,89.9,7.55,265.2,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf
"Inklin","Summer (May-Sep)","min",5.13,-3.21,-Inf,0,979.69,49.63,-1.54,0,270.06,-Inf,16.91,Inf,Inf,Inf,Inf,Inf,Inf
"Inklin","Summer (May-Sep)","obs_na",107,0,0,105,4,4,107,101,101,0,101,346,346,346,346,346,346
"Inklin","Winter (Oct-Apr)","mean",-3.2,Inf,-Inf,1.31,1001.61,86.09,-5.51,0.02,4.48,-Inf,42.1,NA,NA,NA,NA,NA,NA
"Inklin","Winter (Oct-Apr)","max",9.95,Inf,24.99,36.2,1036.05,100,5.99,0.78,89.89,10.07,214.99,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf
"Inklin","Winter (Oct-Apr)","min",-29.1,-32.44,-Inf,0,972.47,53.34,-31.39,0,271.03,-Inf,0.6,Inf,Inf,Inf,Inf,Inf,Inf
"Inklin","Winter (Oct-Apr)","obs_na",31,0,0,43,31,31,31,12,12,0,12,425,425,425,425,425,425
"Kluskus","Summer (May-Sep)","mean",10.85,Inf,-Inf,1.44,889.87,69.59,4.61,0.66,12.66,-Inf,208.91,0.24,NA,NA,11.81,NA,NA
"Kluskus","Summer (May-Sep)","max",26.52,Inf,36.15,35.6,906.78,98.49,14.08,3.26,89.97,28.71,385.52,0.47,-Inf,-Inf,14.32,-Inf,-Inf
"Kluskus","Summer (May-Sep)","min",-2.36,-13.12,-Inf,0,872.35,37.72,-8.55,0,270.12,-Inf,26.81,0.02,Inf,Inf,6.17,Inf,Inf
"Kluskus","Summer (May-Sep)","obs_na",78,0,0,124,76,78,78,154,882,0,118,1097,2319,2319,2111,2319,2319
"Kluskus","Winter (Oct-Apr)","mean",-4.1,-10.39,1.92,0.77,885.48,80.92,-7.28,0.56,0.84,5.88,77.15,0.26,NA,NA,1.44,NA,NA
"Kluskus","Winter (Oct-Apr)","max",12.53,9.24,24.12,25,913.34,100,8.48,3.87,89.83,18.37,303.33,0.52,-Inf,-Inf,8.09,-Inf,-Inf
"Kluskus","Winter (Oct-Apr)","min",-38.42,-45.99,-27.96,0,858.65,42.55,-41.39,0,270.02,0,2.17,0.05,Inf,Inf,-0.07,Inf,Inf
"Kluskus","Winter (Oct-Apr)","obs_na",0,0,0,0,0,0,0,0,908,0,0,1303,3029,3029,2817,3029,3029
"Mackenzie Junction","Summer (May-Sep)","mean",12.67,4.84,20.04,1.54,931.59,71.62,6.81,1.03,332.97,-Inf,199.89,0.09,NA,NA,13.3,32.62,NA
"Mackenzie Junction","Summer (May-Sep)","max",27.46,17.3,38.7,46.4,951.64,97.37,17.12,3.03,89.9,18.74,381.55,0.17,-Inf,-Inf,19.26,100,-Inf
"Mackenzie Junction","Summer (May-Sep)","min",-2.34,-9.85,4.45,0,904.26,32.88,-10.31,0,270.03,-Inf,15.92,0,Inf,Inf,6.56,0,Inf
"Mackenzie Junction","Summer (May-Sep)","obs_na",0,0,0,42,40,0,0,168,0,0,189,1069,2349,2349,2198,0,2349
"Mackenzie Junction","Winter (Oct-Apr)","mean",-3.67,-8.78,1.07,1.07,930.59,81.79,-6.63,0.84,342.82,-Inf,68.61,0.1,NA,NA,1.51,35.07,NA
"Mackenzie Junction","Winter (Oct-Apr)","max",14.36,10.25,23.83,29.2,961,97.97,9.93,3.56,89.96,15.4,320.71,0.22,-Inf,-Inf,8.65,100,-Inf
"Mackenzie Junction","Winter (Oct-Apr)","min",-34.99,-40.94,-28.34,0,899.97,43.25,-38.5,0,270.02,-Inf,1.81,0,Inf,Inf,0,0,Inf
"Mackenzie Junction","Winter (Oct-Apr)","obs_na",0,0,0,213,0,0,0,191,12,0,41,1556,3133,3133,2912,0,3133
"Middlefork Creek","Summer (May-Sep)","mean",9.3,Inf,-Inf,2.5,900.97,73.79,3.48,1,4.03,-Inf,193.93,0.26,NA,NA,6.02,NA,NA
"Middlefork Creek","Summer (May-Sep)","max",23.89,Inf,36.5,94.2,921.05,100,15.38,4.37,89.97,18.18,384.94,0.46,-Inf,-Inf,11.03,-Inf,-Inf
"Middlefork Creek","Summer (May-Sep)","min",-8.05,-19.49,-Inf,0,876.87,33.17,-15.02,0,270.05,-Inf,10.71,0.13,Inf,Inf,-0.49,Inf,Inf
"Middlefork Creek","Summer (May-Sep)","obs_na",98,0,0,98,98,98,98,98,98,0,98,1583,2498,2498,865,2498,2498
"Middlefork Creek","Winter (Oct-Apr)","mean",-10.87,Inf,-Inf,0.25,898.33,78.61,-14.43,0.96,354.14,-Inf,70.81,0.14,NA,NA,0.12,NA,NA
"Middlefork Creek","Winter (Oct-Apr)","max",14.4,Inf,25.5,10.6,931.27,100,5.85,4.94,89.98,18.74,307.33,0.33,-Inf,-Inf,6.26,-Inf,-Inf
"Middlefork Creek","Winter (Oct-Apr)","min",-46.5,-53.55,-Inf,0,868.75,38.15,-51.27,0,270.01,-Inf,0.6,0.08,Inf,Inf,-5.12,Inf,Inf
"Middlefork Creek","Winter (Oct-Apr)","obs_na",135,0,0,135,138,135,135,135,135,0,136,2335,3609,3609,1234,3609,3609
"Mt Edziza","Summer (May-Sep)","mean",5.26,2.51,8.37,2.1,831.27,82.45,2.07,2.62,NA,10.86,146.67,NA,NA,NA,NA,NA,NA
"Mt Edziza","Summer (May-Sep)","max",19.06,15.63,25.02,17.6,847.4,100,9.7,12.1,-Inf,25.89,346.25,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf
"Mt Edziza","Summer (May-Sep)","min",-3.46,-6.33,-2.22,0,811.07,33.1,-6.88,0,Inf,0,21.23,Inf,Inf,Inf,Inf,Inf,Inf
"Mt Edziza","Summer (May-Sep)","obs_na",0,0,0,345,76,0,0,0,401,0,227,401,401,401,401,401,401
"Mt Edziza","Winter (Oct-Apr)","mean",-7.02,-9.12,-4.84,0.03,822.32,87.04,-9.08,1.49,NA,6.32,53.2,NA,NA,NA,NA,NA,NA
"Mt Edziza","Winter (Oct-Apr)","max",9.19,5.8,14.55,0.8,843.45,100,4.1,11.56,-Inf,30.07,244.16,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf
"Mt Edziza","Winter (Oct-Apr)","min",-26.04,-29.12,-22.99,0,795.48,26.96,-28.46,0,Inf,0,0.6,Inf,Inf,Inf,Inf,Inf,Inf
"Mt Edziza","Winter (Oct-Apr)","obs_na",0,0,0,545,83,0,0,0,637,0,332,637,637,637,637,637,637
"Nonda","Summer (May-Sep)","mean",6.63,Inf,-Inf,1.84,826.86,71.78,1.34,4.73,17.88,-Inf,192.59,NA,NA,NA,2.59,NA,NA
"Nonda","Summer (May-Sep)","max",20.24,Inf,24.7,58.6,842.85,100,12.73,17.48,89.97,39.76,419.94,-Inf,-Inf,-Inf,7.34,-Inf,-Inf
"Nonda","Summer (May-Sep)","min",-10.81,-14.1,-Inf,0,802.95,25.4,-11.57,0,270.15,-Inf,12.85,Inf,Inf,Inf,-3.67,Inf,Inf
"Nonda","Summer (May-Sep)","obs_na",474,0,0,322,261,487,488,394,722,0,169,2143,2143,2143,938,2143,2143
"Nonda","Winter (Oct-Apr)","mean",-7.82,Inf,-Inf,0.14,818.99,73.37,-12.3,5.31,19.11,-Inf,69.44,NA,NA,NA,-3.49,NA,NA
"Nonda","Winter (Oct-Apr)","max",12.74,Inf,15.62,51.01,848.53,100,4.48,20.56,89.95,46.94,318.27,-Inf,-Inf,-Inf,3.07,-Inf,-Inf
"Nonda","Winter (Oct-Apr)","min",-37.09,-39.58,-Inf,0,790.97,10.33,-40.45,0,270.2,-Inf,4.15,Inf,Inf,Inf,-10.39,Inf,Inf
"Nonda","Winter (Oct-Apr)","obs_na",828,0,0,713,658,843,843,658,1091,0,349,3133,3133,3133,1343,3133,3133
"Northern Dancer","Summer (May-Sep)","mean",6.04,3.25,9.39,1.78,NA,75.77,1.67,2.27,NA,10.52,204.67,NA,NA,NA,NA,NA,NA
"Northern Dancer","Summer (May-Sep)","max",17.19,15.37,22.23,23.4,-Inf,96.18,9.3,4.93,-Inf,14.09,400.46,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf
"Northern Dancer","Summer (May-Sep)","min",-4.94,-7.48,-1.21,0,Inf,38.46,-7.88,0.57,Inf,5.03,15.31,Inf,Inf,Inf,Inf,Inf,Inf
"Northern Dancer","Summer (May-Sep)","obs_na",0,0,0,0,120,0,0,109,120,109,0,120,120,120,120,120,120
"Northern Dancer","Winter (Oct-Apr)","mean",-9.69,-11.88,-7.43,0.22,NA,81.14,-12.55,2.39,NA,10.41,70.4,NA,NA,NA,NA,NA,NA
"Northern Dancer","Winter (Oct-Apr)","max",5.39,2.69,8.22,10.6,-Inf,95.33,0.11,10,-Inf,25.16,293.53,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf
"Northern Dancer","Winter (Oct-Apr)","min",-28.7,-30.76,-26.49,0,Inf,27.62,-31.28,0,Inf,0,3.68,Inf,Inf,Inf,Inf,Inf,Inf
"Northern Dancer","Winter (Oct-Apr)","obs_na",0,0,0,0,212,0,0,40,212,40,0,212,212,212,212,212,212
"Pink Mountain","Summer (May-Sep)","mean",7,Inf,-Inf,1.92,819.85,71.44,1.63,4.54,6.39,-Inf,202.73,NA,NA,NA,6.14,NA,NA
"Pink Mountain","Summer (May-Sep)","max",25.48,Inf,29.84,51.6,850.25,100,12.98,145.41,89.61,49.31,421.35,-Inf,-Inf,-Inf,13.84,-Inf,-Inf
"Pink Mountain","Summer (May-Sep)","min",-11.99,-13.66,-Inf,0,796.13,21,-14.8,0,270.32,-Inf,18.12,Inf,Inf,Inf,-2.79,Inf,Inf
"Pink Mountain","Summer (May-Sep)","obs_na",285,0,0,138,185,285,285,426,1157,0,312,2489,2489,2489,1320,2489,2489
"Pink Mountain","Winter (Oct-Apr)","mean",-8.16,Inf,-Inf,0.14,812.05,75.33,-12.16,6.11,7.96,-Inf,76.88,NA,NA,NA,-4.59,NA,NA
"Pink Mountain","Winter (Oct-Apr)","max",13.91,Inf,16.11,10.2,841.44,99.99,5.97,138.84,89.85,36.17,322.7,-Inf,-Inf,-Inf,6.7,-Inf,-Inf
"Pink Mountain","Winter (Oct-Apr)","min",-37.81,-38.71,-Inf,0,784.93,13.33,-40.77,0,270.13,-Inf,0.6,Inf,Inf,Inf,-17.22,Inf,Inf
"Pink Mountain","Winter (Oct-Apr)","obs_na",113,0,0,207,318,112,113,636,1778,0,368,3573,3573,3573,1875,3573,3573
"Saxton Lake","Summer (May-Sep)","mean",12.59,4.96,19.3,1.36,929.13,72.54,6.86,9.5,2.82,-Inf,219.79,0.2,0.28,NA,10.84,NA,NA
"Saxton Lake","Summer (May-Sep)","max",26.43,21.32,36.44,32.6,947.9,100,17.49,355.41,89.91,19.48,411.34,0.47,0.5,-Inf,15.2,-Inf,-Inf
"Saxton Lake","Summer (May-Sep)","min",-0.15,-9.46,2.89,0,903.38,38.73,-8.82,0,270.01,-Inf,29.05,0.05,0,Inf,1.4,Inf,Inf
"Saxton Lake","Summer (May-Sep)","obs_na",0,0,0,87,87,4,4,172,224,0,87,1599,1655,2828,861,2828,2828
"Saxton Lake","Winter (Oct-Apr)","mean",-3.25,-9.2,1.96,0.88,927.81,82.11,-6.3,1.23,346.8,-Inf,79.5,0.27,0.35,NA,2.46,NA,NA
"Saxton Lake","Winter (Oct-Apr)","max",15.79,12.73,25.56,35.8,958.25,100,9.88,5.56,89.92,23.93,315.94,0.48,0.5,-Inf,10.6,-Inf,-Inf
"Saxton Lake","Winter (Oct-Apr)","min",-38.96,-47.33,-27.34,0,892.74,36.67,-41.82,0,270.02,-Inf,2.38,0.07,0.1,Inf,-0.84,Inf,Inf
"Saxton Lake","Winter (Oct-Apr)","obs_na",0,0,0,263,263,2,2,263,476,0,263,2386,2386,3821,1061,3821,3821
"Seebach","Summer (May-Sep)","mean",12.46,6.73,18.5,2.62,926.08,79.96,8.39,0.01,352.57,1.08,23.65,0.37,NA,NA,9.47,21.7,NA
"Seebach","Summer (May-Sep)","max",22.66,14.29,33.44,41.4,939.86,100,14.67,0.1,89.94,4.01,42.65,0.44,-Inf,-Inf,12.17,100,-Inf
"Seebach","Summer (May-Sep)","min",1.11,-3.07,6.3,0,907.45,50.74,-2.62,0,270.04,0,4.57,0.31,Inf,Inf,0.88,1.84,Inf
"Seebach","Summer (May-Sep)","obs_na",0,0,0,0,0,0,0,0,0,0,0,0,300,300,0,0,300
"Seebach","Winter (Oct-Apr)","mean",-2.09,Inf,-Inf,2.12,923.37,91.2,-3.61,0,357.47,0.56,7.02,0.41,NA,NA,2.47,31.86,NA
"Seebach","Winter (Oct-Apr)","max",11.54,Inf,21.44,34.6,941.88,100,9.35,0.06,89.87,4.68,36.5,0.45,-Inf,-Inf,8.41,100,-Inf
"Seebach","Winter (Oct-Apr)","min",-33.06,-37.14,-Inf,0,903.2,48.93,-34.59,0,270.08,0,0.6,0.37,Inf,Inf,0.8,2.03,Inf
"Seebach","Winter (Oct-Apr)","obs_na",52,0,0,0,2,52,52,0,0,0,2,2,280,280,2,2,280
"Sunbeam","Summer (May-Sep)","mean",7.03,Inf,-Inf,2.24,798.9,74.45,2.14,3.24,353.17,-Inf,202.66,NA,NA,NA,NA,NA,0.27
"Sunbeam","Summer (May-Sep)","max",25.71,Inf,30.24,44.8,812.29,100,10.94,12.25,89.91,49.31,415.72,-Inf,-Inf,-Inf,-Inf,-Inf,19.15
"Sunbeam","Summer (May-Sep)","min",-8.37,-9.68,-Inf,0,774.35,25.96,-12.21,0,270.01,-Inf,13.95,Inf,Inf,Inf,Inf,Inf,0
"Sunbeam","Summer (May-Sep)","obs_na",90,0,0,0,234,90,90,82,636,0,4,2035,2035,2035,2035,2035,1894
"Sunbeam","Winter (Oct-Apr)","mean",-6.22,Inf,-Inf,0.38,791.98,86.94,-8.4,3.84,344.89,-Inf,81.05,NA,NA,NA,NA,NA,27.1
"Sunbeam","Winter (Oct-Apr)","max",12.2,Inf,15.89,22,818.64,100,5.78,33.13,89.91,35.81,330.72,-Inf,-Inf,-Inf,-Inf,-Inf,61.57
"Sunbeam","Winter (Oct-Apr)","min",-34.29,-37.16,-Inf,0,763.62,11.78,-36.81,0,270.02,-Inf,3.78,Inf,Inf,Inf,Inf,Inf,0
"Sunbeam","Winter (Oct-Apr)","obs_na",107,0,0,0,226,107,107,127,864,0,68,2957,2957,2957,2957,2957,2760
"Tamarac","Summer (May-Sep)","mean",13.68,Inf,-Inf,1.33,NA,65.08,6.44,0.95,NA,-Inf,NA,0.11,0.15,0.1,12.16,NA,NA
"Tamarac","Summer (May-Sep)","max",24.54,Inf,33.73,25.6,-Inf,94.92,14.73,3.03,-Inf,16.12,-Inf,0.17,0.25,0.2,17.91,-Inf,-Inf
"Tamarac","Summer (May-Sep)","min",2.55,-2.28,-Inf,0,Inf,33.86,-5.17,0,Inf,-Inf,Inf,0.05,0.06,0.03,3.63,Inf,Inf
"Tamarac","Summer (May-Sep)","obs_na",113,0,0,7,683,113,113,7,683,0,683,167,167,131,131,683,683
"Tamarac","Winter (Oct-Apr)","mean",-2.13,Inf,-Inf,0.68,NA,76.88,-6.09,1.03,NA,6.85,NA,0.12,0.15,0.09,1.61,NA,NA
"Tamarac","Winter (Oct-Apr)","max",15.13,Inf,24.56,17.8,-Inf,99.37,8.92,4.95,-Inf,16.62,-Inf,0.21,0.33,0.22,10.85,-Inf,-Inf
"Tamarac","Winter (Oct-Apr)","min",-33.18,-37.92,-Inf,0,Inf,32.53,-36.05,0,Inf,0,Inf,0.04,0.06,0.03,-0.79,Inf,Inf
"Tamarac","Winter (Oct-Apr)","obs_na",11,0,0,0,851,11,11,0,851,0,851,11,11,11,11,851,851
"Thompson","Summer (May-Sep)","mean",12.13,6.12,18.31,1.15,914.06,66.38,5.12,0.79,5.66,-Inf,199.26,0.06,NA,NA,NA,19.77,NA
"Thompson","Summer (May-Sep)","max",27.91,18.28,37.65,38.8,932.69,100,14.27,4.24,89.96,14.84,401.88,0.15,-Inf,-Inf,-Inf,100,-Inf
"Thompson","Summer (May-Sep)","min",-0.31,-5.57,0.33,0,893.94,27.25,-8.85,0,270.01,-Inf,11.61,0.01,Inf,Inf,Inf,0,Inf
"Thompson","Summer (May-Sep)","obs_na",0,0,0,44,0,0,0,77,115,0,0,1041,2411,2411,2411,0,2411
"Thompson","Winter (Oct-Apr)","mean",-2.71,-6.52,1.43,0.75,910.49,80.98,-5.95,0.65,352.28,-Inf,70.33,0.07,NA,NA,NA,24.64,NA
"Thompson","Winter (Oct-Apr)","max",14.24,10.35,23.45,34.8,940.06,100,10.08,4.62,89.92,19.67,323.79,0.4,-Inf,-Inf,-Inf,100,-Inf
"Thompson","Winter (Oct-Apr)","min",-31.63,-36.46,-26.11,0,874.84,30.95,-35.76,0,270.03,-Inf,1.28,0,Inf,Inf,Inf,0,Inf
"Thompson","Winter (Oct-Apr)","obs_na",0,0,0,59,0,0,0,3,212,0,0,1526,3436,3436,3436,0,3436
"Willow-Bowron","Summer (May-Sep)","mean",13.09,Inf,-Inf,1.49,944.78,77.64,8.3,0.07,6.38,-Inf,124.2,NA,NA,NA,NA,36.73,NA
"Willow-Bowron","Summer (May-Sep)","max",26.82,Inf,38.76,42.21,963.65,100,18.56,0.79,89.97,7.05,324.73,-Inf,-Inf,-Inf,-Inf,100,-Inf
"Willow-Bowron","Summer (May-Sep)","min",0.62,-6.3,-Inf,0,919.08,28.79,-7.75,0,270.08,-Inf,14.26,Inf,Inf,Inf,Inf,0,Inf
"Willow-Bowron","Summer (May-Sep)","obs_na",46,0,0,104,0,46,46,162,541,0,45,2645,2645,2645,2645,103,2645
"Willow-Bowron","Winter (Oct-Apr)","mean",-1.55,-6.37,3.2,1,943.8,83.3,-4.46,0.13,359.25,-Inf,33.65,NA,NA,NA,NA,28.6,NA
"Willow-Bowron","Winter (Oct-Apr)","max",16.88,12.55,25.91,43.4,975.98,100,11.25,1.35,89.97,9.28,256.71,-Inf,-Inf,-Inf,-Inf,100,-Inf
