"Site","gseason","grow_season","Temp_avg","Temp_min","Temp_max","Rain_sum","Pressure_avg","RH_avg","DP_avg","WS_avg","WD_avg","GS_max","SR_avg","WC_avg_15cm","WC_avg_5cm","WC_avg_30cm","ST_avg","W_avg","SD_avg"
"Boulder Creek","Summer (May-Sep)","mean",13.03,6.71,19.8,1.42,965,78.62,8.54,0.27,356.86,-Inf,185.73,0.11,NA,NA,13.08,39.12,NA
"Boulder Creek","Summer (May-Sep)","max",26.02,16.87,37.21,34,984.37,100,17.05,1.46,89.5,14.1,368.27,0.22,-Inf,-Inf,17.27,100,-Inf
"Boulder Creek","Summer (May-Sep)","min",1.22,-4.59,3.93,0,944.64,30.25,-13.65,0,270.03,-Inf,0.6,0,Inf,Inf,7.32,0,Inf
"Boulder Creek","Summer (May-Sep)","obs_na",0,0,0,124,0,0,0,73,73,0,200,747,2056,2056,1826,101,2056
"Boulder Creek","Winter (Oct-Apr)","mean",-1.41,-5.11,2.77,1.29,963.6,89.04,-3.38,0.19,352.34,-Inf,57.62,0.14,NA,NA,1.61,49.38,NA
"Boulder Creek","Winter (Oct-Apr)","max",13.82,10.21,24.07,49.6,998.02,100,11.93,1.89,89.98,15.21,293.27,0.28,-Inf,-Inf,8.65,100,-Inf
"Boulder Creek","Winter (Oct-Apr)","min",-32.86,-36.46,-29.06,0,931.48,26,-35.87,0,270.02,-Inf,0.82,0,Inf,Inf,-2.91,0,Inf
"Boulder Creek","Winter (Oct-Apr)","obs_na",0,0,0,213,0,0,0,199,199,0,133,1245,2943,2943,2731,199,2943
"Bowron Pit","Summer (May-Sep)","mean",12.65,Inf,-Inf,2.04,931.65,77.53,8.01,0.18,342.99,-Inf,186.91,0.21,NA,NA,12.25,NA,0.08
"Bowron Pit","Summer (May-Sep)","max",27.8,Inf,38.53,28.4,949.89,100,17.44,1.53,89.72,13.59,368.52,0.4,-Inf,-Inf,15.19,-Inf,11.17
"Bowron Pit","Summer (May-Sep)","min",0.35,-7.67,-Inf,0,913.39,38.43,-5.4,0,270.13,-Inf,19.62,0.13,Inf,Inf,7.57,Inf,0
"Bowron Pit","Summer (May-Sep)","obs_na",14,0,0,14,14,14,14,14,177,0,14,14,1192,1192,1039,1192,212
"Bowron Pit","Winter (Oct-Apr)","mean",-2.05,-7.32,3.07,1.53,930.53,83.2,-4.96,0.3,347.56,5.24,64.05,0.21,NA,NA,2.32,NA,20.3
"Bowron Pit","Winter (Oct-Apr)","max",15.81,9.53,25.4,38,963.18,100,10.7,2.45,89.95,19.12,302.07,0.29,-Inf,-Inf,9.45,-Inf,91.64
"Bowron Pit","Winter (Oct-Apr)","min",-38.63,-45.01,-30.2,0,902.5,39.51,-41.69,0,270.43,0,2.17,0.09,Inf,Inf,-0.42,Inf,0
"Bowron Pit","Winter (Oct-Apr)","obs_na",0,0,0,0,0,0,0,0,243,0,0,0,1695,1695,1402,1695,272
"Bulkley","Summer (May-Sep)","mean",13.3,Inf,-Inf,1.45,944.71,74.84,7.79,0.25,4.58,3.38,124.71,NA,NA,NA,NA,39.29,NA
"Bulkley","Summer (May-Sep)","max",27.88,Inf,39.66,42.01,963.48,100,17.92,1.19,89.98,7.98,322.6,-Inf,-Inf,-Inf,-Inf,100,-Inf
"Bulkley","Summer (May-Sep)","min",0.47,-6.74,-Inf,0,919.27,32.17,-10.85,0,270.01,0,16.13,Inf,Inf,Inf,Inf,0.1,Inf
"Bulkley","Summer (May-Sep)","obs_na",7,0,0,57,0,71,71,0,0,0,12,2782,2782,2782,2782,113,2782
"Bulkley","Winter (Oct-Apr)","mean",-1.69,-6.57,3.1,0.9,943.79,81.6,-4.88,0.33,351.59,3.29,33.67,NA,NA,NA,NA,28.88,NA
"Bulkley","Winter (Oct-Apr)","max",16.78,12.12,26.21,22.6,976.04,100,10.84,1.77,89.8,10.02,241.08,-Inf,-Inf,-Inf,-Inf,100,-Inf
"Bulkley","Winter (Oct-Apr)","min",-38.32,-43.56,-32.29,0,907.59,28.25,-41.44,0,270.07,0,0.92,Inf,Inf,Inf,Inf,0,Inf
"Bulkley","Winter (Oct-Apr)","obs_na",0,0,0,119,0,0,0,0,0,0,156,3638,3638,3638,3638,213,3638
"Canoe","Summer (May-Sep)","mean",5.98,3.01,9.18,1.84,780.14,75.67,1.43,4.72,348.84,-Inf,211.16,NA,NA,NA,NA,NA,NA
"Canoe","Summer (May-Sep)","max",24.55,20.79,28.94,47.6,793.25,100,10.84,13.71,88.85,49.31,429.26,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf
"Canoe","Summer (May-Sep)","min",-9.24,-10.65,-7.58,0,762.82,26.27,-12.54,0,270.2,-Inf,15.92,Inf,Inf,Inf,Inf,Inf,Inf
"Canoe","Summer (May-Sep)","obs_na",0,0,0,126,126,0,0,84,188,0,0,1836,1836,1836,1836,1836,1836
"Canoe","Winter (Oct-Apr)","mean",-7.31,-9.64,-4.89,0.2,772.37,87.32,-9.33,5.47,346.12,-Inf,82.31,NA,NA,NA,NA,NA,NA
"Canoe","Winter (Oct-Apr)","max",10.73,8.49,14.51,31.01,793.62,100,4.21,17.49,89.84,36.64,327.38,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf
"Canoe","Winter (Oct-Apr)","min",-35.18,-40.49,-30.41,0,748.41,15,-37.68,0,270.09,-Inf,3.58,Inf,Inf,Inf,Inf,Inf,Inf
"Canoe","Winter (Oct-Apr)","obs_na",0,0,0,13,15,0,0,183,214,0,0,2539,2539,2539,2539,2539,2539
"Caribou Pass","Summer (May-Sep)","mean",5.2,2.25,9.01,1.28,814.02,77.35,1.04,5.75,6.38,14.02,170.82,NA,6.01,NA,NA,NA,NA
"Caribou Pass","Summer (May-Sep)","max",17.28,13.57,24.17,26,826.31,100,9.86,14.9,89.85,32.16,359.63,-Inf,13.28,-Inf,-Inf,-Inf,-Inf
"Caribou Pass","Summer (May-Sep)","min",-4.88,-7.09,-2.45,0,794.69,34.24,-8.18,0.82,270.25,4.68,22.7,Inf,0.56,Inf,Inf,Inf,Inf
"Caribou Pass","Summer (May-Sep)","obs_na",0,0,0,0,0,0,0,0,0,0,0,364,206,364,364,364,364
"Caribou Pass","Winter (Oct-Apr)","mean",-8.07,-10.56,-5.1,0.05,805.11,84.95,-10.4,5.8,356.52,-Inf,62.38,NA,-4.6,NA,NA,NA,NA
"Caribou Pass","Winter (Oct-Apr)","max",5.71,3.59,14.67,4,824.67,99.91,2.73,18.92,88.85,45.22,287.6,-Inf,3.4,-Inf,-Inf,-Inf,-Inf
"Caribou Pass","Winter (Oct-Apr)","min",-33.14,-35.19,-30.69,0,773.72,29.64,-35.69,0,270.02,-Inf,3.26,Inf,-14.9,Inf,Inf,Inf,Inf
"Caribou Pass","Winter (Oct-Apr)","obs_na",0,0,0,0,87,0,0,19,0,0,0,521,308,521,521,521,521
"Cassiar Mt","Summer (May-Sep)","mean",6.81,4,10.07,1.87,837.47,79.6,3.21,0.57,0.1,6.83,187.13,NA,NA,NA,NA,NA,NA
"Cassiar Mt","Summer (May-Sep)","max",19.44,15.46,24.1,34.6,852.73,99.63,11.81,2.71,89.9,20.22,375.05,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf
"Cassiar Mt","Summer (May-Sep)","min",-3.77,-7.19,-2.77,0,824.61,38.13,-7.42,0,278.63,0,18.43,Inf,Inf,Inf,Inf,Inf,Inf
"Cassiar Mt","Summer (May-Sep)","obs_na",0,0,0,0,0,0,0,0,0,0,0,319,319,319,319,319,319
